DATE,Close,Index_predicted,Return,mean_of_group,r_cat,top_pred,top_prob
2017-07-10,2427.43,2430.9918816468703,0.0009277661864273146,0.0009674105688525431,"(0.000234, 0.0017]",0.0023964743428819806,0.962439775466919
2017-07-11,2425.53,2426.254012004933,-0.0007827208199616686,-0.00048445804619154224,"(-0.00124, 0.000234]",-0.00048445804619154224,0.9996122717857361
2017-07-12,2443.25,2410.0581052795346,0.007305619802682184,0.006811813334538518,"(0.00611, 0.00758]",-0.006378768648693483,0.6161384582519531
2017-07-13,2447.83,2442.0663478786423,0.00187455233807432,0.0023964743428819806,"(0.0017, 0.00317]",-0.00048445804619154224,0.6268370747566223
2017-07-14,2459.27,2432.2158587386684,0.0046735271648765675,0.005360160433452178,"(0.00464, 0.00611]",-0.006378768648693483,0.5861625671386719
2017-07-17,2459.14,2458.0785868607422,-5.286121491343554e-05,-0.00048445804619154224,"(-0.00124, 0.000234]",-0.00048445804619154224,0.3715123236179352
2017-07-18,2460.61,2465.0332659155547,0.0005977699520971491,0.0009674105688525431,"(0.000234, 0.0017]",0.0023964743428819806,0.998027503490448
2017-07-19,2473.83,2455.8059658610005,0.0053726514969865136,0.005360160433452178,"(0.00464, 0.00611]",-0.0019523752805196924,0.8237850666046143
2017-07-20,2473.45,2476.2232092875447,-0.00015360796821128897,-0.00048445804619154224,"(-0.00124, 0.000234]",0.0009674105688525431,0.27457958459854126
2017-07-21,2472.54,2461.335002493032,-0.0003679071741898854,-0.00048445804619154224,"(-0.00124, 0.000234]",-0.00489801593198495,0.9989745616912842
2017-07-24,2469.91,2485.7932110781276,-0.0010636834995592093,-0.00048445804619154224,"(-0.00124, 0.000234]",0.005360160433452178,0.7970768213272095
2017-07-25,2477.13,2450.484357114415,0.002923183435833865,0.0023964743428819806,"(0.0017, 0.00317]",-0.007864919323208085,0.8501353859901428
2017-07-26,2477.83,2479.526401742422,0.0002825850883885206,0.0009674105688525431,"(0.000234, 0.0017]",0.0009674105688525431,0.998484194278717
2017-07-27,2475.42,2480.22707892982,-0.0009726252406339064,-0.00048445804619154224,"(-0.00124, 0.000234]",0.0009674105688525431,0.9540784358978271
2017-07-28,2472.1,2459.6298685116512,-0.0013411865461215866,-0.0019523752805196924,"(-0.0027, -0.00124]",-0.006378768648693483,0.5208133459091187
2017-07-31,2470.3,2452.657132941097,-0.0007281258848751415,-0.00048445804619154224,"(-0.00124, 0.000234]",-0.007864919323208085,0.73857182264328
2017-08-01,2476.35,2443.722879405273,0.002449095251588762,0.0023964743428819806,"(0.0017, 0.00317]",-0.01075866113214061,0.5708207488059998
2017-08-02,2477.57,2464.220798246829,0.0004926605689827834,0.0009674105688525431,"(0.000234, 0.0017]",-0.00489801593198495,0.776861310005188
2017-08-03,2472.16,2469.1288993503254,-0.0021835911800677232,-0.0019523752805196924,"(-0.0027, -0.00124]",-0.0034070079350633593,0.9382625818252563
