idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,31.58,31.58,9,28422,买盘,2017-07-04,2017-07-04 09:25:03
09:30:00,09:30:00,31.58,--,0,0,卖盘,2017-07-04,2017-07-04 09:30:00
09:30:03,09:30:03,31.63,0.05,11,34793,买盘,2017-07-04,2017-07-04 09:30:03
09:30:06,09:30:06,31.65,0.02,14,44310,买盘,2017-07-04,2017-07-04 09:30:06
09:30:09,09:30:09,31.65,--,22,69630,买盘,2017-07-04,2017-07-04 09:30:09
09:30:15,09:30:15,31.66,0.01,4,12664,中性盘,2017-07-04,2017-07-04 09:30:15
09:30:33,09:30:33,31.66,--,42,132972,卖盘,2017-07-04,2017-07-04 09:30:33
09:30:39,09:30:39,31.66,--,1,3166,买盘,2017-07-04,2017-07-04 09:30:39
09:30:42,09:30:42,31.66,--,6,18996,买盘,2017-07-04,2017-07-04 09:30:42
09:30:45,09:30:45,31.66,--,4,12664,买盘,2017-07-04,2017-07-04 09:30:45
09:30:51,09:30:51,31.66,--,10,31660,买盘,2017-07-04,2017-07-04 09:30:51
09:30:57,09:30:57,31.66,--,1,3166,买盘,2017-07-04,2017-07-04 09:30:57
09:31:09,09:31:09,31.66,--,1,3166,买盘,2017-07-04,2017-07-04 09:31:09
09:31:18,09:31:18,31.66,--,1,3166,卖盘,2017-07-04,2017-07-04 09:31:18
09:31:39,09:31:39,31.68,0.02,3,9504,卖盘,2017-07-04,2017-07-04 09:31:39
09:31:48,09:31:48,31.69,0.01,4,12676,买盘,2017-07-04,2017-07-04 09:31:48
09:32:09,09:32:09,31.75,0.06,3,9525,中性盘,2017-07-04,2017-07-04 09:32:09
09:32:12,09:32:12,31.76,0.01,2,6352,卖盘,2017-07-04,2017-07-04 09:32:12
09:32:15,09:32:15,31.77,0.01,2,6354,买盘,2017-07-04,2017-07-04 09:32:15
09:32:18,09:32:18,31.77,--,1,3177,卖盘,2017-07-04,2017-07-04 09:32:18
09:32:24,09:32:24,31.78,0.01,3,9534,买盘,2017-07-04,2017-07-04 09:32:24
09:32:30,09:32:30,31.79,0.01,6,19074,买盘,2017-07-04,2017-07-04 09:32:30
09:32:36,09:32:36,31.77,-0.02,1,3177,卖盘,2017-07-04,2017-07-04 09:32:36
09:32:48,09:32:48,31.77,--,21,66717,买盘,2017-07-04,2017-07-04 09:32:48
09:32:51,09:32:51,31.77,--,1,3177,买盘,2017-07-04,2017-07-04 09:32:51
09:32:57,09:32:57,31.77,--,10,31770,卖盘,2017-07-04,2017-07-04 09:32:57
09:33:00,09:33:00,31.77,--,4,12708,买盘,2017-07-04,2017-07-04 09:33:00
09:33:06,09:33:06,31.78,0.01,6,19068,买盘,2017-07-04,2017-07-04 09:33:06
09:33:12,09:33:12,31.78,--,4,12712,卖盘,2017-07-04,2017-07-04 09:33:12
09:33:15,09:33:15,31.78,--,5,15890,卖盘,2017-07-04,2017-07-04 09:33:15
09:33:18,09:33:18,31.78,--,5,15890,卖盘,2017-07-04,2017-07-04 09:33:18
09:33:24,09:33:24,31.77,-0.01,1,3177,卖盘,2017-07-04,2017-07-04 09:33:24
09:33:27,09:33:27,31.78,0.01,3,9534,买盘,2017-07-04,2017-07-04 09:33:27
09:33:39,09:33:39,31.78,--,10,31780,买盘,2017-07-04,2017-07-04 09:33:39
09:33:45,09:33:45,31.75,-0.03,4,12700,买盘,2017-07-04,2017-07-04 09:33:45
09:34:03,09:34:03,31.75,--,3,9525,买盘,2017-07-04,2017-07-04 09:34:03
09:34:06,09:34:06,31.75,--,5,15875,卖盘,2017-07-04,2017-07-04 09:34:06
09:34:12,09:34:12,31.75,--,2,6350,卖盘,2017-07-04,2017-07-04 09:34:12
09:34:27,09:34:27,31.75,--,1,3175,卖盘,2017-07-04,2017-07-04 09:34:27
09:34:30,09:34:30,31.75,--,1,3175,卖盘,2017-07-04,2017-07-04 09:34:30
09:34:36,09:34:36,31.77,0.02,2,6354,买盘,2017-07-04,2017-07-04 09:34:36
09:34:39,09:34:39,31.75,-0.02,1,3175,卖盘,2017-07-04,2017-07-04 09:34:39
09:34:45,09:34:45,31.75,--,22,69850,卖盘,2017-07-04,2017-07-04 09:34:45
09:34:48,09:34:48,31.75,--,2,6350,卖盘,2017-07-04,2017-07-04 09:34:48
09:34:54,09:34:54,31.75,--,5,15875,卖盘,2017-07-04,2017-07-04 09:34:54
09:34:57,09:34:57,31.75,--,1,3175,卖盘,2017-07-04,2017-07-04 09:34:57
09:35:00,09:35:00,31.75,--,1,3175,卖盘,2017-07-04,2017-07-04 09:35:00
09:35:06,09:35:06,31.75,--,3,9525,卖盘,2017-07-04,2017-07-04 09:35:06
09:35:09,09:35:09,31.75,--,2,6350,卖盘,2017-07-04,2017-07-04 09:35:09
09:35:12,09:35:12,31.75,--,10,31750,卖盘,2017-07-04,2017-07-04 09:35:12
09:35:15,09:35:15,31.73,-0.02,9,28557,卖盘,2017-07-04,2017-07-04 09:35:15
09:35:18,09:35:18,31.75,0.02,19,60325,买盘,2017-07-04,2017-07-04 09:35:18
09:35:30,09:35:30,31.73,-0.02,5,15865,卖盘,2017-07-04,2017-07-04 09:35:30
09:35:33,09:35:33,31.73,--,4,12692,卖盘,2017-07-04,2017-07-04 09:35:33
09:35:36,09:35:36,31.72,-0.01,19,60268,卖盘,2017-07-04,2017-07-04 09:35:36
09:35:39,09:35:39,31.58,-0.14,7,22106,卖盘,2017-07-04,2017-07-04 09:35:39
09:35:45,09:35:45,31.72,0.14,6,19032,买盘,2017-07-04,2017-07-04 09:35:45
09:35:54,09:35:54,31.6,-0.12,5,15800,中性盘,2017-07-04,2017-07-04 09:35:54
09:35:57,09:35:57,31.6,--,1,3160,卖盘,2017-07-04,2017-07-04 09:35:57
09:36:18,09:36:18,31.65,0.05,2,6330,中性盘,2017-07-04,2017-07-04 09:36:18
09:36:21,09:36:21,31.65,--,1,3165,卖盘,2017-07-04,2017-07-04 09:36:21
09:36:39,09:36:39,31.65,--,2,6330,买盘,2017-07-04,2017-07-04 09:36:39
09:36:48,09:36:48,31.69,0.04,2,6338,买盘,2017-07-04,2017-07-04 09:36:48
09:36:57,09:36:57,31.7,0.01,13,41210,买盘,2017-07-04,2017-07-04 09:36:57
09:37:03,09:37:03,31.64,-0.06,4,12656,卖盘,2017-07-04,2017-07-04 09:37:03
09:37:06,09:37:06,31.62,-0.02,3,9486,买盘,2017-07-04,2017-07-04 09:37:06
09:37:18,09:37:18,31.72,0.1,3,9516,买盘,2017-07-04,2017-07-04 09:37:18
09:37:24,09:37:24,31.72,--,8,25376,买盘,2017-07-04,2017-07-04 09:37:24
09:37:39,09:37:39,31.72,--,5,15860,买盘,2017-07-04,2017-07-04 09:37:39
