idx_time,time,price,change,volume,amount,type,date,date_time
09:25:01,09:25:01,51.08,51.08,10430,53281343,买盘,2017-08-16,2017-08-16 09:25:01
09:28:50,09:28:50,51.08,--,0,0,卖盘,2017-08-16,2017-08-16 09:28:50
09:30:00,09:30:00,51.2,0.12,1092,5591040,买盘,2017-08-16,2017-08-16 09:30:00
09:30:03,09:30:03,51.58,0.38,6270,32342310,买盘,2017-08-16,2017-08-16 09:30:03
09:30:06,09:30:06,51.3,-0.28,1185,6079050,卖盘,2017-08-16,2017-08-16 09:30:06
09:30:09,09:30:09,51.7,0.4,377,1949090,买盘,2017-08-16,2017-08-16 09:30:09
09:30:12,09:30:12,51.3,-0.4,283,1451790,卖盘,2017-08-16,2017-08-16 09:30:12
09:30:15,09:30:15,51.3,--,221,1133730,卖盘,2017-08-16,2017-08-16 09:30:15
09:30:18,09:30:18,51.47,0.17,156,802932,买盘,2017-08-16,2017-08-16 09:30:18
09:30:21,09:30:21,51.3,-0.17,883,4529790,卖盘,2017-08-16,2017-08-16 09:30:21
09:30:24,09:30:24,51.5,0.2,664,3419600,买盘,2017-08-16,2017-08-16 09:30:24
09:30:27,09:30:27,51.38,-0.12,405,2080890,中性盘,2017-08-16,2017-08-16 09:30:27
09:30:30,09:30:30,51.3,-0.08,286,1467180,卖盘,2017-08-16,2017-08-16 09:30:30
09:30:33,09:30:33,51.3,--,773,3965490,卖盘,2017-08-16,2017-08-16 09:30:33
09:30:36,09:30:36,51.55,0.25,272,1402160,买盘,2017-08-16,2017-08-16 09:30:36
09:30:39,09:30:39,51.33,-0.22,720,3696991,卖盘,2017-08-16,2017-08-16 09:30:39
09:30:42,09:30:42,51.5,0.17,537,2769773,买盘,2017-08-16,2017-08-16 09:30:42
09:30:45,09:30:45,51.48,-0.02,547,2815956,卖盘,2017-08-16,2017-08-16 09:30:45
09:30:48,09:30:48,51.5,0.02,182,937300,买盘,2017-08-16,2017-08-16 09:30:48
09:30:52,09:30:52,51.4,-0.1,424,2179360,卖盘,2017-08-16,2017-08-16 09:30:52
09:30:56,09:30:56,51.41,0.01,1020,5244745,买盘,2017-08-16,2017-08-16 09:30:56
09:30:59,09:30:59,51.48,0.07,732,3768336,买盘,2017-08-16,2017-08-16 09:30:59
09:31:02,09:31:02,51.48,--,414,2131272,买盘,2017-08-16,2017-08-16 09:31:02
09:31:05,09:31:05,51.55,0.07,477,2463162,买盘,2017-08-16,2017-08-16 09:31:05
09:31:08,09:31:08,51.48,-0.07,692,3562416,卖盘,2017-08-16,2017-08-16 09:31:08
09:31:11,09:31:11,51.45,-0.03,837,4306365,卖盘,2017-08-16,2017-08-16 09:31:11
09:31:14,09:31:14,51.35,-0.1,586,3009110,卖盘,2017-08-16,2017-08-16 09:31:14
09:31:17,09:31:17,51.5,0.15,312,1606800,中性盘,2017-08-16,2017-08-16 09:31:17
