idx_time,time,price,pchange,change,volume,amount,type,date,date_time
09:25:03,09:25:03,11.08,0.00,0.0,78,86424,0,2017-06-27,2017-06-27 09:25:03
09:30:00,09:30:00,11.08,0.00,0.0,0,0,??,2017-06-27,2017-06-27 09:30:00
09:30:03,09:30:03,11.08,0.00,0.0,92,101936,??,2017-06-27,2017-06-27 09:30:03
09:30:06,09:30:06,11.07,-0.09,-0.01,22,24354,??,2017-06-27,2017-06-27 09:30:06
09:30:42,09:30:42,11.07,-0.09,0.0,24,26568,??,2017-06-27,2017-06-27 09:30:42
09:30:51,09:30:51,11.07,-0.09,0.0,20,22140,??,2017-06-27,2017-06-27 09:30:51
09:30:54,09:30:54,11.07,-0.09,0.0,5,5535,??,2017-06-27,2017-06-27 09:30:54
09:31:03,09:31:03,11.09,+0.09,0.02,18,19962,??,2017-06-27,2017-06-27 09:31:03
09:31:36,09:31:36,11.08,0.00,-0.01,1,1108,??,2017-06-27,2017-06-27 09:31:36
09:31:51,09:31:51,11.08,0.00,0.0,5,5540,??,2017-06-27,2017-06-27 09:31:51
09:32:09,09:32:09,11.08,0.00,0.0,3,3324,??,2017-06-27,2017-06-27 09:32:09
09:32:12,09:32:12,11.08,0.00,0.0,3,3324,??,2017-06-27,2017-06-27 09:32:12
09:32:21,09:32:21,11.08,0.00,0.0,88,97504,??,2017-06-27,2017-06-27 09:32:21
09:32:39,09:32:39,11.08,0.00,0.0,10,11080,??,2017-06-27,2017-06-27 09:32:39
09:32:45,09:32:45,11.08,0.00,0.0,1,1108,??,2017-06-27,2017-06-27 09:32:45
09:33:06,09:33:06,11.08,0.00,0.0,3,3324,??,2017-06-27,2017-06-27 09:33:06
09:33:24,09:33:24,11.08,0.00,0.0,11,12188,??,2017-06-27,2017-06-27 09:33:24
09:33:33,09:33:33,11.08,0.00,0.0,1,1108,??,2017-06-27,2017-06-27 09:33:33
09:33:36,09:33:36,11.08,0.00,0.0,50,55400,??,2017-06-27,2017-06-27 09:33:36
09:33:39,09:33:39,11.08,0.00,0.0,17,18836,??,2017-06-27,2017-06-27 09:33:39
09:33:42,09:33:42,11.07,-0.09,-0.01,12,13284,??,2017-06-27,2017-06-27 09:33:42
09:33:48,09:33:48,11.08,0.00,0.01,36,39888,??,2017-06-27,2017-06-27 09:33:48
09:33:57,09:33:57,11.07,-0.09,-0.01,55,60885,??,2017-06-27,2017-06-27 09:33:57
09:34:06,09:34:06,11.08,0.00,0.01,20,22160,??,2017-06-27,2017-06-27 09:34:06
09:34:21,09:34:21,11.08,0.00,0.0,6,6648,??,2017-06-27,2017-06-27 09:34:21
09:34:45,09:34:45,11.08,0.00,0.0,15,16620,??,2017-06-27,2017-06-27 09:34:45
09:34:57,09:34:57,11.09,+0.09,0.01,1,1109,??,2017-06-27,2017-06-27 09:34:57
09:35:00,09:35:00,11.09,+0.09,0.0,7,7763,??,2017-06-27,2017-06-27 09:35:00
09:35:06,09:35:06,11.09,+0.09,0.0,3,3327,??,2017-06-27,2017-06-27 09:35:06
