idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,11.84,11.84,351,415584,买盘,2017-08-01,2017-08-01 09:25:03
09:30:00,09:30:00,11.84,--,0,0,买盘,2017-08-01,2017-08-01 09:30:00
09:30:03,09:30:03,11.82,-0.02,418,494076,卖盘,2017-08-01,2017-08-01 09:30:03
09:30:06,09:30:06,11.8,-0.02,72,84960,卖盘,2017-08-01,2017-08-01 09:30:06
09:30:09,09:30:09,11.8,--,5,5900,买盘,2017-08-01,2017-08-01 09:30:09
09:30:12,09:30:12,11.8,--,41,48380,买盘,2017-08-01,2017-08-01 09:30:12
09:30:18,09:30:18,11.83,0.03,12,14196,买盘,2017-08-01,2017-08-01 09:30:18
09:30:21,09:30:21,11.83,--,13,15379,买盘,2017-08-01,2017-08-01 09:30:21
09:30:24,09:30:24,11.82,-0.01,58,68556,买盘,2017-08-01,2017-08-01 09:30:24
09:30:27,09:30:27,11.81,-0.01,194,229114,卖盘,2017-08-01,2017-08-01 09:30:27
09:30:30,09:30:30,11.81,--,241,284621,买盘,2017-08-01,2017-08-01 09:30:30
09:30:33,09:30:33,11.81,--,20,23620,买盘,2017-08-01,2017-08-01 09:30:33
09:30:36,09:30:36,11.81,--,44,51964,买盘,2017-08-01,2017-08-01 09:30:36
09:30:39,09:30:39,11.81,--,42,49602,买盘,2017-08-01,2017-08-01 09:30:39
09:30:42,09:30:42,11.77,-0.04,33,38841,卖盘,2017-08-01,2017-08-01 09:30:42
09:30:48,09:30:48,11.77,--,112,131824,卖盘,2017-08-01,2017-08-01 09:30:48
09:30:51,09:30:51,11.78,0.01,10,11780,卖盘,2017-08-01,2017-08-01 09:30:51
09:30:54,09:30:54,11.79,0.01,30,35370,中性盘,2017-08-01,2017-08-01 09:30:54
09:30:57,09:30:57,11.78,-0.01,1,1178,中性盘,2017-08-01,2017-08-01 09:30:57
09:31:00,09:31:00,11.77,-0.01,5,5885,卖盘,2017-08-01,2017-08-01 09:31:00
09:31:03,09:31:03,11.79,0.02,3,3536,中性盘,2017-08-01,2017-08-01 09:31:03
09:31:06,09:31:06,11.8,0.01,25,29500,买盘,2017-08-01,2017-08-01 09:31:06
09:31:09,09:31:09,11.78,-0.02,75,88350,卖盘,2017-08-01,2017-08-01 09:31:09
