idx_time,time,price,pchange,change,volume,amount,type,date,date_time
09:25:03,09:25:03,13.6,+1.04,0.0,3293,4478480,0,2017-06-27,2017-06-27 09:25:03
09:25:03,09:25:03,13.6,+1.04,0.0,3293,4478480,???,2017-06-27,2017-06-27 09:25:03
09:30:00,09:30:00,13.6,+1.04,0.0,15,20400,??,2017-06-27,2017-06-27 09:30:00
09:30:03,09:30:03,13.58,+0.89,-0.02,2543,3453394,??,2017-06-27,2017-06-27 09:30:03
09:30:06,09:30:06,13.59,+0.97,0.01,539,732501,??,2017-06-27,2017-06-27 09:30:06
09:30:09,09:30:09,13.6,+1.04,0.01,678,922270,??,2017-06-27,2017-06-27 09:30:09
09:30:12,09:30:12,13.6,+1.04,0.0,16,21760,??,2017-06-27,2017-06-27 09:30:12
09:30:15,09:30:15,13.62,+1.19,0.02,81,110322,??,2017-06-27,2017-06-27 09:30:15
09:30:18,09:30:18,13.6,+1.04,-0.02,107,145520,??,2017-06-27,2017-06-27 09:30:18
09:30:21,09:30:21,13.6,+1.04,0.0,171,232560,??,2017-06-27,2017-06-27 09:30:21
09:30:24,09:30:24,13.66,+1.49,0.06,372,508152,??,2017-06-27,2017-06-27 09:30:24
09:30:27,09:30:27,13.6,+1.04,-0.06,115,156400,??,2017-06-27,2017-06-27 09:30:27
09:30:30,09:30:30,13.66,+1.49,0.06,40,54640,??,2017-06-27,2017-06-27 09:30:30
09:30:33,09:30:33,13.65,+1.41,-0.01,273,372645,??,2017-06-27,2017-06-27 09:30:33
09:30:36,09:30:36,13.65,+1.41,0.0,198,270270,??,2017-06-27,2017-06-27 09:30:36
09:30:39,09:30:39,13.64,+1.34,-0.01,184,250976,???,2017-06-27,2017-06-27 09:30:39
09:30:42,09:30:42,13.62,+1.19,-0.02,326,444012,??,2017-06-27,2017-06-27 09:30:42
09:30:45,09:30:45,13.65,+1.41,0.03,182,248430,??,2017-06-27,2017-06-27 09:30:45
09:30:48,09:30:48,13.6,+1.04,-0.05,650,884000,??,2017-06-27,2017-06-27 09:30:48
09:30:51,09:30:51,13.6,+1.04,0.0,322,437920,??,2017-06-27,2017-06-27 09:30:51
09:30:54,09:30:54,13.6,+1.04,0.0,119,161840,??,2017-06-27,2017-06-27 09:30:54
09:30:57,09:30:57,13.58,+0.89,-0.02,150,203700,??,2017-06-27,2017-06-27 09:30:57
09:31:00,09:31:00,13.56,+0.74,-0.02,327,443412,??,2017-06-27,2017-06-27 09:31:00
09:31:03,09:31:03,13.54,+0.59,-0.02,35,47390,???,2017-06-27,2017-06-27 09:31:03
09:31:06,09:31:06,13.56,+0.74,0.02,84,113904,??,2017-06-27,2017-06-27 09:31:06
09:31:09,09:31:09,13.56,+0.74,0.0,84,113904,??,2017-06-27,2017-06-27 09:31:09
09:31:15,09:31:15,13.56,+0.74,0.0,160,216960,??,2017-06-27,2017-06-27 09:31:15
09:31:18,09:31:18,13.56,+0.74,0.0,121,164076,??,2017-06-27,2017-06-27 09:31:18
