idx_time,time,price,pchange,change,volume,amount,type,date,date_time
09:25:03,09:25:03,9.3,+6.04,0.0,59671,55494151,0,2017-06-27,2017-06-27 09:25:03
09:30:00,09:30:00,9.32,+6.27,0.02,3606,3361603,??,2017-06-27,2017-06-27 09:30:00
09:30:03,09:30:03,9.51,+8.44,0.19,40104,38139760,??,2017-06-27,2017-06-27 09:30:03
09:30:06,09:30:06,9.41,+7.30,-0.1,6418,6039338,???,2017-06-27,2017-06-27 09:30:06
09:30:09,09:30:09,9.51,+8.44,0.1,1888,1795488,??,2017-06-27,2017-06-27 09:30:09
09:30:12,09:30:12,9.52,+8.55,0.01,1022,972944,??,2017-06-27,2017-06-27 09:30:12
09:30:15,09:30:15,9.5,+8.32,-0.02,3032,2880400,???,2017-06-27,2017-06-27 09:30:15
09:30:18,09:30:18,9.4,+7.18,-0.1,5316,4997040,??,2017-06-27,2017-06-27 09:30:18
09:30:21,09:30:21,9.38,+6.96,-0.02,929,871402,??,2017-06-27,2017-06-27 09:30:21
09:30:24,09:30:24,9.39,+7.07,0.01,1043,979377,???,2017-06-27,2017-06-27 09:30:24
09:30:27,09:30:27,9.44,+7.64,0.05,4110,3879840,??,2017-06-27,2017-06-27 09:30:27
09:30:30,09:30:30,9.35,+6.61,-0.09,1385,1294975,??,2017-06-27,2017-06-27 09:30:30
09:30:33,09:30:33,9.32,+6.27,-0.03,3459,3223788,??,2017-06-27,2017-06-27 09:30:33
09:30:36,09:30:36,9.41,+7.30,0.09,1156,1087796,??,2017-06-27,2017-06-27 09:30:36
09:30:39,09:30:39,9.41,+7.30,0.0,1788,1682508,??,2017-06-27,2017-06-27 09:30:39
09:30:42,09:30:42,9.44,+7.64,0.03,1917,1809648,??,2017-06-27,2017-06-27 09:30:42
09:30:45,09:30:45,9.45,+7.75,0.01,2883,2724435,??,2017-06-27,2017-06-27 09:30:45
09:30:48,09:30:48,9.41,+7.30,-0.04,1065,1002165,??,2017-06-27,2017-06-27 09:30:48
09:30:51,09:30:51,9.41,+7.30,0.0,3276,3082716,??,2017-06-27,2017-06-27 09:30:51
09:30:54,09:30:54,9.41,+7.30,0.0,2252,2119132,??,2017-06-27,2017-06-27 09:30:54
09:30:57,09:30:57,9.41,+7.30,0.0,652,613532,??,2017-06-27,2017-06-27 09:30:57
09:31:00,09:31:00,9.4,+7.18,-0.01,2272,2135680,???,2017-06-27,2017-06-27 09:31:00
09:31:03,09:31:03,9.4,+7.18,0.0,803,754820,??,2017-06-27,2017-06-27 09:31:03
09:31:06,09:31:06,9.4,+7.18,0.0,1067,1002980,??,2017-06-27,2017-06-27 09:31:06
09:31:09,09:31:09,9.37,+6.84,-0.03,1053,986661,??,2017-06-27,2017-06-27 09:31:09
09:31:12,09:31:12,9.37,+6.84,0.0,432,404784,??,2017-06-27,2017-06-27 09:31:12
09:31:15,09:31:15,9.36,+6.73,-0.01,3581,3351816,??,2017-06-27,2017-06-27 09:31:15
09:31:18,09:31:18,9.32,+6.27,-0.04,1313,1223716,??,2017-06-27,2017-06-27 09:31:18
09:31:21,09:31:21,9.36,+6.73,0.04,1245,1165320,??,2017-06-27,2017-06-27 09:31:21
09:31:24,09:31:24,9.32,+6.27,-0.04,2062,1921784,??,2017-06-27,2017-06-27 09:31:24
09:31:27,09:31:27,9.32,+6.27,0.0,2927,2727964,??,2017-06-27,2017-06-27 09:31:27
09:31:30,09:31:30,9.31,+6.16,-0.01,942,877002,??,2017-06-27,2017-06-27 09:31:30
09:31:33,09:31:33,9.32,+6.27,0.01,862,803384,??,2017-06-27,2017-06-27 09:31:33
09:31:36,09:31:36,9.31,+6.16,-0.01,5705,5311448,??,2017-06-27,2017-06-27 09:31:36
09:31:39,09:31:39,9.3,+6.04,-0.01,1361,1265730,???,2017-06-27,2017-06-27 09:31:39
09:31:42,09:31:42,9.3,+6.04,0.0,490,455700,??,2017-06-27,2017-06-27 09:31:42
09:31:45,09:31:45,9.27,+5.70,-0.03,721,668367,??,2017-06-27,2017-06-27 09:31:45
09:31:48,09:31:48,9.3,+6.04,0.03,2301,2139930,??,2017-06-27,2017-06-27 09:31:48
09:31:51,09:31:51,9.31,+6.16,0.01,2028,1888236,??,2017-06-27,2017-06-27 09:31:51
09:31:54,09:31:54,9.26,+5.59,-0.05,3668,3397327,???,2017-06-27,2017-06-27 09:31:54
09:31:57,09:31:57,9.28,+5.82,0.02,706,655168,??,2017-06-27,2017-06-27 09:31:57
09:32:00,09:32:00,9.22,+5.13,-0.06,749,690578,??,2017-06-27,2017-06-27 09:32:00
09:32:03,09:32:03,9.25,+5.47,0.03,2748,2541900,??,2017-06-27,2017-06-27 09:32:03
09:32:06,09:32:06,9.26,+5.59,0.01,757,700982,??,2017-06-27,2017-06-27 09:32:06
09:32:09,09:32:09,9.28,+5.82,0.02,867,804576,??,2017-06-27,2017-06-27 09:32:09
09:32:12,09:32:12,9.3,+6.04,0.02,3111,2893230,??,2017-06-27,2017-06-27 09:32:12
09:32:15,09:32:15,9.3,+6.04,0.0,1489,1384770,??,2017-06-27,2017-06-27 09:32:15
09:32:18,09:32:18,9.31,+6.16,0.01,4472,4163432,??,2017-06-27,2017-06-27 09:32:18
09:32:21,09:32:21,9.32,+6.27,0.01,1631,1520092,??,2017-06-27,2017-06-27 09:32:21
09:32:24,09:32:24,9.4,+7.18,0.08,3715,3492100,??,2017-06-27,2017-06-27 09:32:24
09:32:27,09:32:27,9.4,+7.18,0.0,11030,10368200,??,2017-06-27,2017-06-27 09:32:27
09:32:30,09:32:30,9.59,+9.35,0.19,4969,4765271,??,2017-06-27,2017-06-27 09:32:30
09:32:33,09:32:33,9.65,+10.03,0.06,41606,40150388,??,2017-06-27,2017-06-27 09:32:33
09:32:36,09:32:36,9.65,+10.03,0.0,311,300115,??,2017-06-27,2017-06-27 09:32:36
09:32:39,09:32:39,9.65,+10.03,0.0,250,241250,??,2017-06-27,2017-06-27 09:32:39
09:32:42,09:32:42,9.65,+10.03,0.0,1455,1404075,??,2017-06-27,2017-06-27 09:32:42
09:32:45,09:32:45,9.65,+10.03,0.0,557,537505,??,2017-06-27,2017-06-27 09:32:45
09:32:48,09:32:48,9.65,+10.03,0.0,1293,1247745,??,2017-06-27,2017-06-27 09:32:48
09:32:51,09:32:51,9.65,+10.03,0.0,575,554875,??,2017-06-27,2017-06-27 09:32:51
09:32:54,09:32:54,9.65,+10.03,0.0,271,261515,??,2017-06-27,2017-06-27 09:32:54
09:32:57,09:32:57,9.65,+10.03,0.0,249,240285,??,2017-06-27,2017-06-27 09:32:57
09:33:00,09:33:00,9.65,+10.03,0.0,509,491185,??,2017-06-27,2017-06-27 09:33:00
09:33:03,09:33:03,9.65,+10.03,0.0,446,430390,??,2017-06-27,2017-06-27 09:33:03
09:33:06,09:33:06,9.65,+10.03,0.0,206,198790,??,2017-06-27,2017-06-27 09:33:06
09:33:09,09:33:09,9.65,+10.03,0.0,173,166945,??,2017-06-27,2017-06-27 09:33:09
09:33:12,09:33:12,9.65,+10.03,0.0,1204,1161860,???,2017-06-27,2017-06-27 09:33:12
09:33:12,09:33:12,9.65,+10.03,0.0,1204,1161860,??,2017-06-27,2017-06-27 09:33:12
09:33:15,09:33:15,9.65,+10.03,0.0,298,287879,??,2017-06-27,2017-06-27 09:33:15
09:33:18,09:33:18,9.65,+10.03,0.0,82,79130,??,2017-06-27,2017-06-27 09:33:18
09:33:21,09:33:21,9.65,+10.03,0.0,7305,7049325,??,2017-06-27,2017-06-27 09:33:21
09:33:24,09:33:24,9.65,+10.03,0.0,421,406265,??,2017-06-27,2017-06-27 09:33:24
09:33:27,09:33:27,9.65,+10.03,0.0,92,88780,??,2017-06-27,2017-06-27 09:33:27
09:33:30,09:33:30,9.65,+10.03,0.0,104,100360,??,2017-06-27,2017-06-27 09:33:30
09:33:33,09:33:33,9.65,+10.03,0.0,334,322310,??,2017-06-27,2017-06-27 09:33:33
09:33:36,09:33:36,9.65,+10.03,0.0,239,230635,??,2017-06-27,2017-06-27 09:33:36
09:33:39,09:33:39,9.65,+10.03,0.0,204,196860,??,2017-06-27,2017-06-27 09:33:39
09:33:42,09:33:42,9.65,+10.03,0.0,545,525925,??,2017-06-27,2017-06-27 09:33:42
09:33:45,09:33:45,9.65,+10.03,0.0,1486,1433990,??,2017-06-27,2017-06-27 09:33:45
09:33:48,09:33:48,9.65,+10.03,0.0,55,53075,??,2017-06-27,2017-06-27 09:33:48
09:33:51,09:33:51,9.65,+10.03,0.0,369,356085,??,2017-06-27,2017-06-27 09:33:51
