idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,7.54,7.54,916,690664,买盘,2017-07-18,2017-07-18 09:25:03
09:30:00,09:30:00,7.54,--,0,0,买盘,2017-07-18,2017-07-18 09:30:00
09:30:03,09:30:03,7.53,-0.01,706,531618,中性盘,2017-07-18,2017-07-18 09:30:03
09:30:06,09:30:06,7.5,-0.03,46,34500,卖盘,2017-07-18,2017-07-18 09:30:06
09:30:09,09:30:09,7.51,0.01,32,24032,买盘,2017-07-18,2017-07-18 09:30:09
09:30:12,09:30:12,7.51,--,101,75851,买盘,2017-07-18,2017-07-18 09:30:12
09:30:15,09:30:15,7.53,0.02,48,36144,买盘,2017-07-18,2017-07-18 09:30:15
09:30:18,09:30:18,7.51,-0.02,60,45060,卖盘,2017-07-18,2017-07-18 09:30:18
09:30:24,09:30:24,7.53,0.02,60,45180,买盘,2017-07-18,2017-07-18 09:30:24
09:30:33,09:30:33,7.52,-0.01,152,114304,中性盘,2017-07-18,2017-07-18 09:30:33
09:30:39,09:30:39,7.52,--,60,45120,买盘,2017-07-18,2017-07-18 09:30:39
09:30:42,09:30:42,7.52,--,101,75952,买盘,2017-07-18,2017-07-18 09:30:42
09:30:45,09:30:45,7.52,--,105,78960,卖盘,2017-07-18,2017-07-18 09:30:45
09:30:48,09:30:48,7.53,0.01,2,1506,买盘,2017-07-18,2017-07-18 09:30:48
09:30:51,09:30:51,7.52,-0.01,35,26320,卖盘,2017-07-18,2017-07-18 09:30:51
09:30:57,09:30:57,7.53,0.01,34,25602,买盘,2017-07-18,2017-07-18 09:30:57
09:31:00,09:31:00,7.53,--,342,257526,买盘,2017-07-18,2017-07-18 09:31:00
09:31:03,09:31:03,7.53,--,98,73794,卖盘,2017-07-18,2017-07-18 09:31:03
09:31:06,09:31:06,7.54,0.01,54,40716,买盘,2017-07-18,2017-07-18 09:31:06
09:31:09,09:31:09,7.54,--,3,2262,买盘,2017-07-18,2017-07-18 09:31:09
09:31:12,09:31:12,7.53,-0.01,10,7530,卖盘,2017-07-18,2017-07-18 09:31:12
09:31:15,09:31:15,7.54,0.01,56,42224,买盘,2017-07-18,2017-07-18 09:31:15
09:31:18,09:31:18,7.53,-0.01,310,233430,卖盘,2017-07-18,2017-07-18 09:31:18
09:31:21,09:31:21,7.54,0.01,12,9048,买盘,2017-07-18,2017-07-18 09:31:21
09:31:24,09:31:24,7.55,0.01,30,22650,买盘,2017-07-18,2017-07-18 09:31:24
09:31:27,09:31:27,7.54,-0.01,42,31668,卖盘,2017-07-18,2017-07-18 09:31:27
09:31:30,09:31:30,7.54,--,194,146276,卖盘,2017-07-18,2017-07-18 09:31:30
09:31:33,09:31:33,7.57,0.03,425,321725,买盘,2017-07-18,2017-07-18 09:31:33
09:31:36,09:31:36,7.57,--,115,87055,买盘,2017-07-18,2017-07-18 09:31:36
09:31:39,09:31:39,7.56,-0.01,9,6804,卖盘,2017-07-18,2017-07-18 09:31:39
09:31:42,09:31:42,7.56,--,1,756,买盘,2017-07-18,2017-07-18 09:31:42
09:31:48,09:31:48,7.56,--,34,25704,卖盘,2017-07-18,2017-07-18 09:31:48
09:31:51,09:31:51,7.57,0.01,70,52990,买盘,2017-07-18,2017-07-18 09:31:51
09:31:57,09:31:57,7.56,-0.01,93,70308,卖盘,2017-07-18,2017-07-18 09:31:57
09:32:00,09:32:00,7.57,0.01,99,74943,买盘,2017-07-18,2017-07-18 09:32:00
09:32:03,09:32:03,7.59,0.02,1269,963512,买盘,2017-07-18,2017-07-18 09:32:03
09:32:06,09:32:06,7.6,0.01,5,3800,买盘,2017-07-18,2017-07-18 09:32:06
09:32:09,09:32:09,7.6,--,31,23560,买盘,2017-07-18,2017-07-18 09:32:09
09:32:12,09:32:12,7.59,-0.01,228,173469,卖盘,2017-07-18,2017-07-18 09:32:12
09:32:15,09:32:15,7.59,--,155,117645,买盘,2017-07-18,2017-07-18 09:32:15
09:32:18,09:32:18,7.59,--,105,79695,买盘,2017-07-18,2017-07-18 09:32:18
09:32:21,09:32:21,7.58,-0.01,40,30320,中性盘,2017-07-18,2017-07-18 09:32:21
09:32:24,09:32:24,7.58,--,48,36384,买盘,2017-07-18,2017-07-18 09:32:24
09:32:27,09:32:27,7.58,--,5,3790,买盘,2017-07-18,2017-07-18 09:32:27
09:32:30,09:32:30,7.58,--,90,68220,买盘,2017-07-18,2017-07-18 09:32:30
09:32:33,09:32:33,7.58,--,4,3032,买盘,2017-07-18,2017-07-18 09:32:33
09:32:39,09:32:39,7.59,0.01,61,46299,买盘,2017-07-18,2017-07-18 09:32:39
09:32:42,09:32:42,7.59,--,187,142593,买盘,2017-07-18,2017-07-18 09:32:42
09:32:45,09:32:45,7.6,0.01,519,394440,买盘,2017-07-18,2017-07-18 09:32:45
09:32:48,09:32:48,7.58,-0.02,40,30320,卖盘,2017-07-18,2017-07-18 09:32:48
09:32:51,09:32:51,7.59,0.01,5,3795,中性盘,2017-07-18,2017-07-18 09:32:51
09:32:54,09:32:54,7.59,--,58,44022,买盘,2017-07-18,2017-07-18 09:32:54
09:32:57,09:32:57,7.6,0.01,341,259160,买盘,2017-07-18,2017-07-18 09:32:57
09:33:00,09:33:00,7.58,-0.02,72,54576,卖盘,2017-07-18,2017-07-18 09:33:00
09:33:03,09:33:03,7.6,0.02,2,1520,买盘,2017-07-18,2017-07-18 09:33:03
09:33:06,09:33:06,7.59,-0.01,14,10724,买盘,2017-07-18,2017-07-18 09:33:06
09:33:12,09:33:12,7.58,-0.01,167,126586,中性盘,2017-07-18,2017-07-18 09:33:12
09:33:15,09:33:15,7.58,--,60,45480,买盘,2017-07-18,2017-07-18 09:33:15
09:33:18,09:33:18,7.59,0.01,207,157113,买盘,2017-07-18,2017-07-18 09:33:18
