idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,10.81,10.81,217,234577,买盘,2017-06-23,2017-06-23 09:25:03
09:30:00,09:30:00,10.81,--,0,0,买盘,2017-06-23,2017-06-23 09:30:00
09:30:03,09:30:03,10.8,-0.01,273,294861,卖盘,2017-06-23,2017-06-23 09:30:03
09:30:06,09:30:06,10.8,--,12,12960,买盘,2017-06-23,2017-06-23 09:30:06
09:30:09,09:30:09,10.8,--,7,7560,买盘,2017-06-23,2017-06-23 09:30:09
09:30:15,09:30:15,10.78,-0.02,147,159522,卖盘,2017-06-23,2017-06-23 09:30:15
09:30:27,09:30:27,10.78,--,10,10780,买盘,2017-06-23,2017-06-23 09:30:27
09:30:36,09:30:36,10.78,--,10,10780,买盘,2017-06-23,2017-06-23 09:30:36
09:30:39,09:30:39,10.78,--,30,32339,买盘,2017-06-23,2017-06-23 09:30:39
09:30:42,09:30:42,10.78,--,4,4312,买盘,2017-06-23,2017-06-23 09:30:42
09:30:45,09:30:45,10.78,--,1,1078,买盘,2017-06-23,2017-06-23 09:30:45
09:30:48,09:30:48,10.77,-0.01,1,1077,卖盘,2017-06-23,2017-06-23 09:30:48
09:30:54,09:30:54,10.77,--,20,21540,卖盘,2017-06-23,2017-06-23 09:30:54
09:30:57,09:30:57,10.78,0.01,15,16169,买盘,2017-06-23,2017-06-23 09:30:57
09:31:00,09:31:00,10.77,-0.01,15,16155,卖盘,2017-06-23,2017-06-23 09:31:00
09:31:06,09:31:06,10.78,0.01,10,10780,买盘,2017-06-23,2017-06-23 09:31:06
09:31:12,09:31:12,10.78,--,48,51744,买盘,2017-06-23,2017-06-23 09:31:12
09:31:15,09:31:15,10.78,--,59,63601,买盘,2017-06-23,2017-06-23 09:31:15
09:31:18,09:31:18,10.78,--,74,79772,买盘,2017-06-23,2017-06-23 09:31:18
09:31:24,09:31:24,10.77,-0.01,1,1077,中性盘,2017-06-23,2017-06-23 09:31:24
09:31:27,09:31:27,10.77,--,8,8616,买盘,2017-06-23,2017-06-23 09:31:27
09:31:30,09:31:30,10.77,--,11,11847,买盘,2017-06-23,2017-06-23 09:31:30
09:31:36,09:31:36,10.77,--,5,5385,中性盘,2017-06-23,2017-06-23 09:31:36
09:31:42,09:31:42,10.76,-0.01,94,101144,卖盘,2017-06-23,2017-06-23 09:31:42
