idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,8.0,8,509,407200,买盘,2017-07-17,2017-07-17 09:25:03
09:30:00,09:30:00,8.0,--,0,0,卖盘,2017-07-17,2017-07-17 09:30:00
09:30:03,09:30:03,7.99,-0.01,142,113458,卖盘,2017-07-17,2017-07-17 09:30:03
09:30:06,09:30:06,7.99,--,10,7990,买盘,2017-07-17,2017-07-17 09:30:06
09:30:21,09:30:21,7.99,--,12,9588,买盘,2017-07-17,2017-07-17 09:30:21
09:30:24,09:30:24,7.98,-0.01,198,158004,卖盘,2017-07-17,2017-07-17 09:30:24
09:30:30,09:30:30,7.98,--,20,15960,买盘,2017-07-17,2017-07-17 09:30:30
09:30:33,09:30:33,7.97,-0.01,35,27895,卖盘,2017-07-17,2017-07-17 09:30:33
09:30:36,09:30:36,7.98,0.01,88,70224,买盘,2017-07-17,2017-07-17 09:30:36
09:30:45,09:30:45,7.96,-0.02,2,1592,卖盘,2017-07-17,2017-07-17 09:30:45
09:30:48,09:30:48,7.96,--,13,10348,卖盘,2017-07-17,2017-07-17 09:30:48
09:30:51,09:30:51,7.96,--,3,2388,卖盘,2017-07-17,2017-07-17 09:30:51
09:30:54,09:30:54,7.96,--,4,3184,卖盘,2017-07-17,2017-07-17 09:30:54
09:31:00,09:31:00,7.96,--,8,6368,卖盘,2017-07-17,2017-07-17 09:31:00
09:31:03,09:31:03,7.96,--,16,12736,卖盘,2017-07-17,2017-07-17 09:31:03
09:31:06,09:31:06,7.97,0.01,163,129911,买盘,2017-07-17,2017-07-17 09:31:06
09:31:09,09:31:09,7.96,-0.01,36,28656,卖盘,2017-07-17,2017-07-17 09:31:09
09:31:12,09:31:12,7.96,--,1,796,买盘,2017-07-17,2017-07-17 09:31:12
09:31:15,09:31:15,7.96,--,20,15920,买盘,2017-07-17,2017-07-17 09:31:15
09:31:21,09:31:21,7.95,-0.01,24,19080,卖盘,2017-07-17,2017-07-17 09:31:21
09:31:24,09:31:24,7.94,-0.01,45,35730,卖盘,2017-07-17,2017-07-17 09:31:24
09:31:27,09:31:27,7.96,0.02,20,15920,买盘,2017-07-17,2017-07-17 09:31:27
09:31:30,09:31:30,7.94,-0.02,1,794,卖盘,2017-07-17,2017-07-17 09:31:30
09:31:39,09:31:39,7.95,0.01,20,15900,买盘,2017-07-17,2017-07-17 09:31:39
09:31:48,09:31:48,7.95,--,12,9540,买盘,2017-07-17,2017-07-17 09:31:48
09:31:51,09:31:51,7.95,--,5,3975,卖盘,2017-07-17,2017-07-17 09:31:51
09:31:54,09:31:54,7.95,--,23,18285,卖盘,2017-07-17,2017-07-17 09:31:54
09:32:06,09:32:06,7.95,--,90,71550,卖盘,2017-07-17,2017-07-17 09:32:06
09:32:09,09:32:09,7.94,-0.01,41,32554,卖盘,2017-07-17,2017-07-17 09:32:09
09:32:15,09:32:15,7.94,--,26,20644,卖盘,2017-07-17,2017-07-17 09:32:15
09:32:18,09:32:18,7.95,0.01,5,3975,中性盘,2017-07-17,2017-07-17 09:32:18
09:32:21,09:32:21,7.95,--,11,8745,卖盘,2017-07-17,2017-07-17 09:32:21
09:32:24,09:32:24,7.95,--,6,4770,卖盘,2017-07-17,2017-07-17 09:32:24
09:32:27,09:32:27,7.96,0.01,10,7960,买盘,2017-07-17,2017-07-17 09:32:27
09:32:30,09:32:30,7.96,--,138,109848,买盘,2017-07-17,2017-07-17 09:32:30
09:32:39,09:32:39,7.97,0.01,10,7970,买盘,2017-07-17,2017-07-17 09:32:39
09:32:45,09:32:45,7.97,--,20,15940,买盘,2017-07-17,2017-07-17 09:32:45
09:32:54,09:32:54,7.96,-0.01,414,329544,卖盘,2017-07-17,2017-07-17 09:32:54
09:32:57,09:32:57,7.96,--,30,23880,买盘,2017-07-17,2017-07-17 09:32:57
09:33:03,09:33:03,7.96,--,95,75620,买盘,2017-07-17,2017-07-17 09:33:03
09:33:06,09:33:06,7.96,--,34,27064,卖盘,2017-07-17,2017-07-17 09:33:06
09:33:12,09:33:12,7.96,--,36,28656,买盘,2017-07-17,2017-07-17 09:33:12
09:33:15,09:33:15,7.96,--,20,15920,卖盘,2017-07-17,2017-07-17 09:33:15
09:33:18,09:33:18,7.96,--,15,11940,卖盘,2017-07-17,2017-07-17 09:33:18
09:33:24,09:33:24,7.95,-0.01,18,14310,卖盘,2017-07-17,2017-07-17 09:33:24
09:33:36,09:33:36,7.97,0.02,11,8767,买盘,2017-07-17,2017-07-17 09:33:36
09:33:48,09:33:48,7.95,-0.02,99,78705,卖盘,2017-07-17,2017-07-17 09:33:48
09:33:51,09:33:51,7.95,--,184,146280,卖盘,2017-07-17,2017-07-17 09:33:51
09:34:00,09:34:00,7.96,0.01,50,39800,中性盘,2017-07-17,2017-07-17 09:34:00
09:34:03,09:34:03,7.95,-0.01,50,39750,卖盘,2017-07-17,2017-07-17 09:34:03
09:34:06,09:34:06,7.95,--,1,795,中性盘,2017-07-17,2017-07-17 09:34:06
09:34:09,09:34:09,7.95,--,25,19875,卖盘,2017-07-17,2017-07-17 09:34:09
09:34:15,09:34:15,7.94,-0.01,3,2382,卖盘,2017-07-17,2017-07-17 09:34:15
09:34:18,09:34:18,7.94,--,127,100838,卖盘,2017-07-17,2017-07-17 09:34:18
09:34:21,09:34:21,7.92,-0.02,11,8712,卖盘,2017-07-17,2017-07-17 09:34:21
09:34:33,09:34:33,7.93,0.01,20,15860,卖盘,2017-07-17,2017-07-17 09:34:33
09:34:42,09:34:42,7.92,-0.01,194,153648,卖盘,2017-07-17,2017-07-17 09:34:42
09:34:45,09:34:45,7.94,0.02,120,95280,买盘,2017-07-17,2017-07-17 09:34:45
09:34:48,09:34:48,7.92,-0.02,100,79200,中性盘,2017-07-17,2017-07-17 09:34:48
09:34:51,09:34:51,7.92,--,6,4752,中性盘,2017-07-17,2017-07-17 09:34:51
09:34:54,09:34:54,7.92,--,46,36432,卖盘,2017-07-17,2017-07-17 09:34:54
09:35:03,09:35:03,7.93,0.01,131,103883,中性盘,2017-07-17,2017-07-17 09:35:03
09:35:06,09:35:06,7.92,-0.01,12,9504,卖盘,2017-07-17,2017-07-17 09:35:06
09:35:09,09:35:09,7.92,--,91,72072,卖盘,2017-07-17,2017-07-17 09:35:09
