idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,43.05,43.05,3631,15633090,买盘,2017-07-19,2017-07-19 09:25:03
09:30:00,09:30:00,43.1,0.05,158,680980,买盘,2017-07-19,2017-07-19 09:30:00
09:30:03,09:30:03,43.2,0.1,3525,15228000,买盘,2017-07-19,2017-07-19 09:30:03
09:30:06,09:30:06,43.1,-0.1,680,2930800,卖盘,2017-07-19,2017-07-19 09:30:06
09:30:09,09:30:09,43.1,--,374,1611940,卖盘,2017-07-19,2017-07-19 09:30:09
09:30:12,09:30:12,43.12,0.02,68,293216,买盘,2017-07-19,2017-07-19 09:30:12
09:30:15,09:30:15,43.1,-0.02,42,181020,卖盘,2017-07-19,2017-07-19 09:30:15
09:30:18,09:30:18,43.2,0.1,193,833760,买盘,2017-07-19,2017-07-19 09:30:18
09:30:21,09:30:21,43.2,--,105,453600,买盘,2017-07-19,2017-07-19 09:30:21
09:30:24,09:30:24,43.12,-0.08,199,858088,卖盘,2017-07-19,2017-07-19 09:30:24
09:30:27,09:30:27,43.07,-0.05,360,1550520,卖盘,2017-07-19,2017-07-19 09:30:27
09:30:30,09:30:30,43.1,0.03,347,1495570,卖盘,2017-07-19,2017-07-19 09:30:30
09:30:33,09:30:33,43.1,--,129,559567,卖盘,2017-07-19,2017-07-19 09:30:33
09:30:36,09:30:36,43.1,--,135,581850,卖盘,2017-07-19,2017-07-19 09:30:36
09:30:39,09:30:39,43.14,0.04,69,297666,买盘,2017-07-19,2017-07-19 09:30:39
09:30:42,09:30:42,43.14,--,151,651414,卖盘,2017-07-19,2017-07-19 09:30:42
09:30:45,09:30:45,43.1,-0.04,143,616330,卖盘,2017-07-19,2017-07-19 09:30:45
09:30:48,09:30:48,43.1,--,133,573230,卖盘,2017-07-19,2017-07-19 09:30:48
09:30:51,09:30:51,43.1,--,209,900790,卖盘,2017-07-19,2017-07-19 09:30:51
09:30:54,09:30:54,43.09,-0.01,119,512771,卖盘,2017-07-19,2017-07-19 09:30:54
09:30:57,09:30:57,43.11,0.02,243,1047573,买盘,2017-07-19,2017-07-19 09:30:57
09:31:00,09:31:00,43.12,0.01,238,1026255,中性盘,2017-07-19,2017-07-19 09:31:00
09:31:03,09:31:03,43.12,--,208,896896,卖盘,2017-07-19,2017-07-19 09:31:03
09:31:06,09:31:06,43.12,--,71,306152,卖盘,2017-07-19,2017-07-19 09:31:06
09:31:09,09:31:09,43.12,--,187,806344,卖盘,2017-07-19,2017-07-19 09:31:09
09:31:12,09:31:12,43.1,-0.02,102,439620,卖盘,2017-07-19,2017-07-19 09:31:12
09:31:15,09:31:15,43.07,-0.03,182,783874,卖盘,2017-07-19,2017-07-19 09:31:15
09:31:18,09:31:18,43.1,0.03,215,926650,买盘,2017-07-19,2017-07-19 09:31:18
09:31:21,09:31:21,42.99,-0.11,918,3949147,卖盘,2017-07-19,2017-07-19 09:31:21
09:31:24,09:31:24,42.88,-0.11,227,973376,卖盘,2017-07-19,2017-07-19 09:31:24
09:31:27,09:31:27,42.8,-0.08,37,158360,卖盘,2017-07-19,2017-07-19 09:31:27
09:31:30,09:31:30,42.72,-0.08,118,504096,卖盘,2017-07-19,2017-07-19 09:31:30
09:31:33,09:31:33,42.47,-0.25,323,1371781,卖盘,2017-07-19,2017-07-19 09:31:33
