idx_time,time,price,pchange,change,volume,amount,type,date,date_time
09:25:03,09:25:03,9.54,+2.14,0.0,24369,23248579,0,2017-06-27,2017-06-27 09:25:03
09:25:03,09:25:03,9.54,+2.14,0.0,24369,23248579,???,2017-06-27,2017-06-27 09:25:03
09:30:00,09:30:00,9.56,+2.36,0.02,186,177816,??,2017-06-27,2017-06-27 09:30:00
09:30:03,09:30:03,9.61,+2.89,0.05,13337,12816857,??,2017-06-27,2017-06-27 09:30:03
09:30:06,09:30:06,9.6,+2.78,-0.01,7467,7168320,??,2017-06-27,2017-06-27 09:30:06
09:30:09,09:30:09,9.59,+2.68,-0.01,1070,1026130,??,2017-06-27,2017-06-27 09:30:09
09:30:12,09:30:12,9.58,+2.57,-0.01,1063,1018354,??,2017-06-27,2017-06-27 09:30:12
09:30:15,09:30:15,9.6,+2.78,0.02,3162,3035520,??,2017-06-27,2017-06-27 09:30:15
09:30:18,09:30:18,9.6,+2.78,0.0,1563,1500480,??,2017-06-27,2017-06-27 09:30:18
09:30:21,09:30:21,9.6,+2.78,0.0,1203,1154880,??,2017-06-27,2017-06-27 09:30:21
09:30:24,09:30:24,9.61,+2.89,0.01,717,689037,???,2017-06-27,2017-06-27 09:30:24
09:30:27,09:30:27,9.6,+2.78,-0.01,4904,4707840,??,2017-06-27,2017-06-27 09:30:27
09:30:30,09:30:30,9.6,+2.78,0.0,3425,3288000,??,2017-06-27,2017-06-27 09:30:30
09:30:33,09:30:33,9.58,+2.57,-0.02,1578,1511724,??,2017-06-27,2017-06-27 09:30:33
09:30:36,09:30:36,9.58,+2.57,0.0,2253,2158374,??,2017-06-27,2017-06-27 09:30:36
09:30:39,09:30:39,9.58,+2.57,0.0,1584,1517472,??,2017-06-27,2017-06-27 09:30:39
09:30:42,09:30:42,9.59,+2.68,0.01,2913,2793567,??,2017-06-27,2017-06-27 09:30:42
09:30:45,09:30:45,9.58,+2.57,-0.01,12370,11850460,???,2017-06-27,2017-06-27 09:30:45
09:30:48,09:30:48,9.55,+2.25,-0.03,3321,3171555,??,2017-06-27,2017-06-27 09:30:48
09:30:51,09:30:51,9.55,+2.25,0.0,6585,6288675,??,2017-06-27,2017-06-27 09:30:51
09:30:54,09:30:54,9.5,+1.71,-0.05,3130,2973500,??,2017-06-27,2017-06-27 09:30:54
09:30:57,09:30:57,9.54,+2.14,0.04,1809,1725786,???,2017-06-27,2017-06-27 09:30:57
09:31:00,09:31:00,9.53,+2.03,-0.01,1772,1688716,???,2017-06-27,2017-06-27 09:31:00
09:31:03,09:31:03,9.5,+1.71,-0.03,2710,2574899,??,2017-06-27,2017-06-27 09:31:03
09:31:06,09:31:06,9.5,+1.71,0.0,1110,1054500,??,2017-06-27,2017-06-27 09:31:06
09:31:09,09:31:09,9.45,+1.18,-0.05,2846,2689470,??,2017-06-27,2017-06-27 09:31:09
09:31:12,09:31:12,9.45,+1.18,0.0,1048,990360,??,2017-06-27,2017-06-27 09:31:12
09:31:15,09:31:15,9.44,+1.07,-0.01,2405,2270320,??,2017-06-27,2017-06-27 09:31:15
09:31:18,09:31:18,9.44,+1.07,0.0,646,609824,??,2017-06-27,2017-06-27 09:31:18
09:31:21,09:31:21,9.43,+0.96,-0.01,1287,1213641,??,2017-06-27,2017-06-27 09:31:21
09:31:24,09:31:24,9.45,+1.18,0.02,1065,1006425,??,2017-06-27,2017-06-27 09:31:24
09:31:27,09:31:27,9.45,+1.18,0.0,703,664335,??,2017-06-27,2017-06-27 09:31:27
09:31:30,09:31:30,9.45,+1.18,0.0,563,532035,??,2017-06-27,2017-06-27 09:31:30
09:31:33,09:31:33,9.46,+1.28,0.01,943,892144,???,2017-06-27,2017-06-27 09:31:33
09:31:36,09:31:36,9.48,+1.50,0.02,416,394368,??,2017-06-27,2017-06-27 09:31:36
09:31:39,09:31:39,9.49,+1.61,0.01,1142,1083758,??,2017-06-27,2017-06-27 09:31:39
09:31:42,09:31:42,9.5,+1.71,0.01,438,416100,??,2017-06-27,2017-06-27 09:31:42
09:31:45,09:31:45,9.5,+1.71,0.0,450,427500,??,2017-06-27,2017-06-27 09:31:45
09:31:48,09:31:48,9.5,+1.71,0.0,1823,1731850,??,2017-06-27,2017-06-27 09:31:48
09:31:51,09:31:51,9.5,+1.71,0.0,1968,1869600,??,2017-06-27,2017-06-27 09:31:51
09:31:54,09:31:54,9.53,+2.03,0.03,806,768118,??,2017-06-27,2017-06-27 09:31:54
09:31:57,09:31:57,9.5,+1.71,-0.03,795,755250,??,2017-06-27,2017-06-27 09:31:57
