idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,7.8,7.8,21910,17089800,买盘,2017-06-26,2017-06-26 09:25:03
09:30:03,09:30:03,7.8,--,4231,3300866,买盘,2017-06-26,2017-06-26 09:30:03
09:30:06,09:30:06,7.84,0.04,24346,19087389,买盘,2017-06-26,2017-06-26 09:30:06
09:30:09,09:30:09,7.8,-0.04,4670,3642600,卖盘,2017-06-26,2017-06-26 09:30:09
09:30:12,09:30:12,7.85,0.05,1525,1197125,中性盘,2017-06-26,2017-06-26 09:30:12
09:30:15,09:30:15,7.85,--,382,299870,卖盘,2017-06-26,2017-06-26 09:30:15
09:30:18,09:30:18,7.88,0.03,230,181240,买盘,2017-06-26,2017-06-26 09:30:18
09:30:21,09:30:21,7.85,-0.03,1978,1552730,卖盘,2017-06-26,2017-06-26 09:30:21
09:30:24,09:30:24,7.88,0.03,1286,1013368,买盘,2017-06-26,2017-06-26 09:30:24
09:30:27,09:30:27,7.85,-0.03,1447,1135895,卖盘,2017-06-26,2017-06-26 09:30:27
09:30:30,09:30:30,7.85,--,846,664110,买盘,2017-06-26,2017-06-26 09:30:30
09:30:33,09:30:33,7.95,0.1,5845,4646775,买盘,2017-06-26,2017-06-26 09:30:33
09:30:36,09:30:36,7.87,-0.08,1223,962501,卖盘,2017-06-26,2017-06-26 09:30:36
09:30:39,09:30:39,7.9,0.03,1051,830290,买盘,2017-06-26,2017-06-26 09:30:39
09:30:42,09:30:42,7.85,-0.05,2287,1795295,卖盘,2017-06-26,2017-06-26 09:30:42
09:30:45,09:30:45,7.88,0.03,2226,1754088,买盘,2017-06-26,2017-06-26 09:30:45
09:30:48,09:30:48,7.93,0.05,5039,3995927,买盘,2017-06-26,2017-06-26 09:30:48
09:30:51,09:30:51,7.94,0.01,1353,1074282,买盘,2017-06-26,2017-06-26 09:30:51
09:30:54,09:30:54,7.94,--,364,289016,买盘,2017-06-26,2017-06-26 09:30:54
09:30:57,09:30:57,7.91,-0.03,1122,887502,卖盘,2017-06-26,2017-06-26 09:30:57
09:31:00,09:31:00,7.92,0.01,881,697752,中性盘,2017-06-26,2017-06-26 09:31:00
09:31:03,09:31:03,7.88,-0.04,876,690288,卖盘,2017-06-26,2017-06-26 09:31:03
09:31:06,09:31:06,7.87,-0.01,685,539095,卖盘,2017-06-26,2017-06-26 09:31:06
09:31:09,09:31:09,7.9,0.03,886,699940,买盘,2017-06-26,2017-06-26 09:31:09
09:31:12,09:31:12,7.83,-0.07,1807,1414881,卖盘,2017-06-26,2017-06-26 09:31:12
09:31:15,09:31:15,7.86,0.03,1326,1042236,买盘,2017-06-26,2017-06-26 09:31:15
09:31:18,09:31:18,7.88,0.02,915,721020,买盘,2017-06-26,2017-06-26 09:31:18
09:31:21,09:31:21,7.85,-0.03,243,190755,中性盘,2017-06-26,2017-06-26 09:31:21
09:31:24,09:31:24,7.86,0.01,787,618582,中性盘,2017-06-26,2017-06-26 09:31:24
09:31:27,09:31:27,7.87,0.01,1122,883014,买盘,2017-06-26,2017-06-26 09:31:27
09:31:30,09:31:30,7.83,-0.04,452,353916,卖盘,2017-06-26,2017-06-26 09:31:30
09:31:33,09:31:33,7.85,0.02,490,384650,买盘,2017-06-26,2017-06-26 09:31:33
09:31:36,09:31:36,7.87,0.02,551,433637,买盘,2017-06-26,2017-06-26 09:31:36
09:31:39,09:31:39,7.86,-0.01,1090,856740,中性盘,2017-06-26,2017-06-26 09:31:39
09:31:42,09:31:42,7.87,0.01,634,498958,买盘,2017-06-26,2017-06-26 09:31:42
09:31:45,09:31:45,7.85,-0.02,1296,1017360,卖盘,2017-06-26,2017-06-26 09:31:45
09:31:48,09:31:48,7.85,--,1058,830530,卖盘,2017-06-26,2017-06-26 09:31:48
09:31:51,09:31:51,7.87,0.02,378,297486,中性盘,2017-06-26,2017-06-26 09:31:51
09:31:54,09:31:54,7.86,-0.01,1133,890538,卖盘,2017-06-26,2017-06-26 09:31:54
09:31:57,09:31:57,7.86,--,783,615438,卖盘,2017-06-26,2017-06-26 09:31:57
09:32:00,09:32:00,7.87,0.01,234,184158,中性盘,2017-06-26,2017-06-26 09:32:00
09:32:03,09:32:03,7.89,0.02,975,769275,买盘,2017-06-26,2017-06-26 09:32:03
09:32:06,09:32:06,7.9,0.01,741,585390,买盘,2017-06-26,2017-06-26 09:32:06
09:32:09,09:32:09,7.9,--,1028,812120,买盘,2017-06-26,2017-06-26 09:32:09
09:32:12,09:32:12,7.9,--,1323,1045170,买盘,2017-06-26,2017-06-26 09:32:12
09:32:15,09:32:15,7.93,0.03,1166,924638,买盘,2017-06-26,2017-06-26 09:32:15
09:32:18,09:32:18,7.92,-0.01,1452,1149984,卖盘,2017-06-26,2017-06-26 09:32:18
09:32:21,09:32:21,7.95,0.03,1115,886425,买盘,2017-06-26,2017-06-26 09:32:21
09:32:24,09:32:24,7.96,0.01,768,611328,买盘,2017-06-26,2017-06-26 09:32:24
09:32:27,09:32:27,7.95,-0.01,2089,1660755,卖盘,2017-06-26,2017-06-26 09:32:27
09:32:30,09:32:30,7.98,0.03,1637,1306326,买盘,2017-06-26,2017-06-26 09:32:30
09:32:33,09:32:33,7.98,--,1157,923286,买盘,2017-06-26,2017-06-26 09:32:33
09:32:36,09:32:36,7.99,0.01,733,585667,买盘,2017-06-26,2017-06-26 09:32:36
09:32:39,09:32:39,7.99,--,1515,1210485,买盘,2017-06-26,2017-06-26 09:32:39
09:32:42,09:32:42,8.0,0.01,2255,1804000,买盘,2017-06-26,2017-06-26 09:32:42
09:32:45,09:32:45,8.0,--,2943,2354400,买盘,2017-06-26,2017-06-26 09:32:45
09:32:48,09:32:48,8.0,--,5185,4148000,买盘,2017-06-26,2017-06-26 09:32:48
09:32:51,09:32:51,8.0,--,1831,1464800,买盘,2017-06-26,2017-06-26 09:32:51
09:32:54,09:32:54,8.02,0.02,871,698542,买盘,2017-06-26,2017-06-26 09:32:54
09:32:57,09:32:57,8.04,0.02,3210,2580839,买盘,2017-06-26,2017-06-26 09:32:57
09:33:00,09:33:00,8.04,--,1497,1203587,卖盘,2017-06-26,2017-06-26 09:33:00
09:33:03,09:33:03,8.0,-0.04,1514,1211200,卖盘,2017-06-26,2017-06-26 09:33:03
09:33:06,09:33:06,8.03,0.03,1636,1313708,中性盘,2017-06-26,2017-06-26 09:33:06
09:33:09,09:33:09,8.02,-0.01,2074,1663348,中性盘,2017-06-26,2017-06-26 09:33:09
09:33:12,09:33:12,8.02,--,7006,5618812,买盘,2017-06-26,2017-06-26 09:33:12
09:33:15,09:33:15,8.0,-0.02,1209,967200,卖盘,2017-06-26,2017-06-26 09:33:15
09:33:18,09:33:18,7.95,-0.05,1534,1219530,卖盘,2017-06-26,2017-06-26 09:33:18
09:33:21,09:33:21,7.95,--,1327,1054965,买盘,2017-06-26,2017-06-26 09:33:21
09:33:24,09:33:24,7.95,--,848,674160,买盘,2017-06-26,2017-06-26 09:33:24
09:33:27,09:33:27,7.95,--,1248,992160,买盘,2017-06-26,2017-06-26 09:33:27
09:33:30,09:33:30,7.9,-0.05,644,508760,卖盘,2017-06-26,2017-06-26 09:33:30
09:33:33,09:33:33,7.9,--,803,634370,卖盘,2017-06-26,2017-06-26 09:33:33
09:33:36,09:33:36,7.9,--,1794,1417260,买盘,2017-06-26,2017-06-26 09:33:36
09:33:39,09:33:39,7.9,--,1397,1103630,买盘,2017-06-26,2017-06-26 09:33:39
09:33:42,09:33:42,7.94,0.04,315,250110,中性盘,2017-06-26,2017-06-26 09:33:42
09:33:45,09:33:45,7.91,-0.03,384,303744,卖盘,2017-06-26,2017-06-26 09:33:45
09:33:48,09:33:48,7.94,0.03,705,559833,买盘,2017-06-26,2017-06-26 09:33:48
09:33:51,09:33:51,7.9,-0.04,2024,1598960,卖盘,2017-06-26,2017-06-26 09:33:51
09:33:54,09:33:54,7.94,0.04,401,318394,买盘,2017-06-26,2017-06-26 09:33:54
09:33:57,09:33:57,7.94,--,428,339832,买盘,2017-06-26,2017-06-26 09:33:57
09:34:00,09:34:00,7.94,--,657,521658,买盘,2017-06-26,2017-06-26 09:34:00
09:34:03,09:34:03,7.94,--,326,258844,买盘,2017-06-26,2017-06-26 09:34:03
09:34:06,09:34:06,7.94,--,604,479576,买盘,2017-06-26,2017-06-26 09:34:06
09:34:09,09:34:09,7.95,0.01,927,736965,买盘,2017-06-26,2017-06-26 09:34:09
09:34:12,09:34:12,7.93,-0.02,871,690703,卖盘,2017-06-26,2017-06-26 09:34:12
09:34:15,09:34:15,7.94,0.01,408,323952,买盘,2017-06-26,2017-06-26 09:34:15
09:34:18,09:34:18,7.99,0.05,1566,1251234,买盘,2017-06-26,2017-06-26 09:34:18
09:34:21,09:34:21,7.99,--,184,147016,卖盘,2017-06-26,2017-06-26 09:34:21
09:34:24,09:34:24,7.95,-0.04,1726,1372170,卖盘,2017-06-26,2017-06-26 09:34:24
09:34:27,09:34:27,7.94,-0.01,371,294574,卖盘,2017-06-26,2017-06-26 09:34:27
09:34:30,09:34:30,7.95,0.01,374,297330,买盘,2017-06-26,2017-06-26 09:34:30
09:34:33,09:34:33,7.99,0.04,1216,971584,买盘,2017-06-26,2017-06-26 09:34:33
09:34:36,09:34:36,7.94,-0.05,887,704278,卖盘,2017-06-26,2017-06-26 09:34:36
09:34:39,09:34:39,7.95,0.01,781,620895,买盘,2017-06-26,2017-06-26 09:34:39
09:34:42,09:34:42,7.95,--,3770,2997150,买盘,2017-06-26,2017-06-26 09:34:42
09:34:45,09:34:45,7.95,--,879,698805,买盘,2017-06-26,2017-06-26 09:34:45
09:34:48,09:34:48,7.9,-0.05,874,690460,卖盘,2017-06-26,2017-06-26 09:34:48
09:34:51,09:34:51,7.93,0.03,1721,1364753,买盘,2017-06-26,2017-06-26 09:34:51
09:34:54,09:34:54,7.93,--,1252,992836,买盘,2017-06-26,2017-06-26 09:34:54
09:34:57,09:34:57,7.93,--,1313,1041209,买盘,2017-06-26,2017-06-26 09:34:57
09:35:00,09:35:00,7.9,-0.03,695,549050,卖盘,2017-06-26,2017-06-26 09:35:00
09:35:03,09:35:03,7.91,0.01,882,697662,卖盘,2017-06-26,2017-06-26 09:35:03
09:35:06,09:35:06,7.91,--,846,669186,买盘,2017-06-26,2017-06-26 09:35:06
09:35:09,09:35:09,7.9,-0.01,337,266230,卖盘,2017-06-26,2017-06-26 09:35:09
09:35:12,09:35:12,7.9,--,572,451880,卖盘,2017-06-26,2017-06-26 09:35:12
09:35:15,09:35:15,7.9,--,291,229890,买盘,2017-06-26,2017-06-26 09:35:15
09:35:18,09:35:18,7.9,--,337,266230,买盘,2017-06-26,2017-06-26 09:35:18
09:35:21,09:35:21,7.87,-0.03,1287,1013593,卖盘,2017-06-26,2017-06-26 09:35:21
09:35:24,09:35:24,7.9,0.03,466,368140,买盘,2017-06-26,2017-06-26 09:35:24
09:35:27,09:35:27,7.89,-0.01,290,228810,中性盘,2017-06-26,2017-06-26 09:35:27
09:35:30,09:35:30,7.88,-0.01,322,253736,卖盘,2017-06-26,2017-06-26 09:35:30
09:35:33,09:35:33,7.9,0.02,501,395853,买盘,2017-06-26,2017-06-26 09:35:33
09:35:36,09:35:36,7.91,0.01,455,359905,买盘,2017-06-26,2017-06-26 09:35:36
09:35:39,09:35:39,7.9,-0.01,815,643850,卖盘,2017-06-26,2017-06-26 09:35:39
09:35:42,09:35:42,7.9,--,172,135880,卖盘,2017-06-26,2017-06-26 09:35:42
09:35:45,09:35:45,7.9,--,234,184860,卖盘,2017-06-26,2017-06-26 09:35:45
09:35:48,09:35:48,7.93,0.03,238,188734,买盘,2017-06-26,2017-06-26 09:35:48
09:35:51,09:35:51,7.9,-0.03,459,362610,卖盘,2017-06-26,2017-06-26 09:35:51
09:35:54,09:35:54,7.92,0.02,138,109296,买盘,2017-06-26,2017-06-26 09:35:54
09:35:57,09:35:57,7.91,-0.01,127,100457,中性盘,2017-06-26,2017-06-26 09:35:57
09:36:00,09:36:00,7.92,0.01,298,236016,买盘,2017-06-26,2017-06-26 09:36:00
09:36:03,09:36:03,7.9,-0.02,584,461360,卖盘,2017-06-26,2017-06-26 09:36:03
09:36:06,09:36:06,7.92,0.02,204,161568,卖盘,2017-06-26,2017-06-26 09:36:06
09:36:09,09:36:09,7.92,--,231,182952,买盘,2017-06-26,2017-06-26 09:36:09
09:36:12,09:36:12,7.92,--,148,117216,买盘,2017-06-26,2017-06-26 09:36:12
09:36:15,09:36:15,7.92,--,1251,990792,卖盘,2017-06-26,2017-06-26 09:36:15
09:36:18,09:36:18,7.93,0.01,974,772382,中性盘,2017-06-26,2017-06-26 09:36:18
09:36:21,09:36:21,7.93,--,517,409981,卖盘,2017-06-26,2017-06-26 09:36:21
09:36:24,09:36:24,7.93,--,514,407602,卖盘,2017-06-26,2017-06-26 09:36:24
