idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,8.05,8.05,130,104650,买盘,2017-06-30,2017-06-30 09:25:03
09:30:00,09:30:00,8.05,--,0,0,卖盘,2017-06-30,2017-06-30 09:30:00
09:30:03,09:30:03,8.05,--,111,89355,卖盘,2017-06-30,2017-06-30 09:30:03
09:30:51,09:30:51,8.05,--,35,28175,卖盘,2017-06-30,2017-06-30 09:30:51
09:31:24,09:31:24,8.06,0.01,5,4030,中性盘,2017-06-30,2017-06-30 09:31:24
09:31:51,09:31:51,8.06,--,1,806,卖盘,2017-06-30,2017-06-30 09:31:51
09:31:57,09:31:57,8.08,0.02,4,3232,买盘,2017-06-30,2017-06-30 09:31:57
09:32:03,09:32:03,8.08,--,10,8080,买盘,2017-06-30,2017-06-30 09:32:03
09:32:15,09:32:15,8.08,--,1,808,买盘,2017-06-30,2017-06-30 09:32:15
09:32:36,09:32:36,8.08,--,1,808,买盘,2017-06-30,2017-06-30 09:32:36
09:32:39,09:32:39,8.08,--,14,11312,买盘,2017-06-30,2017-06-30 09:32:39
09:33:33,09:33:33,8.07,-0.01,20,16140,卖盘,2017-06-30,2017-06-30 09:33:33
09:33:39,09:33:39,8.08,0.01,43,34744,买盘,2017-06-30,2017-06-30 09:33:39
09:33:57,09:33:57,8.08,--,25,20200,卖盘,2017-06-30,2017-06-30 09:33:57
09:34:03,09:34:03,8.08,--,30,24240,卖盘,2017-06-30,2017-06-30 09:34:03
09:34:06,09:34:06,8.08,--,12,9696,卖盘,2017-06-30,2017-06-30 09:34:06
09:34:09,09:34:09,8.09,0.01,192,155328,买盘,2017-06-30,2017-06-30 09:34:09
09:34:21,09:34:21,8.08,-0.01,18,14544,卖盘,2017-06-30,2017-06-30 09:34:21
09:34:42,09:34:42,8.09,0.01,81,65529,买盘,2017-06-30,2017-06-30 09:34:42
09:34:51,09:34:51,8.08,-0.01,253,204424,卖盘,2017-06-30,2017-06-30 09:34:51
09:35:09,09:35:09,8.07,-0.01,10,8070,卖盘,2017-06-30,2017-06-30 09:35:09
09:35:21,09:35:21,8.07,--,9,7263,卖盘,2017-06-30,2017-06-30 09:35:21
09:35:36,09:35:36,8.07,--,20,16140,卖盘,2017-06-30,2017-06-30 09:35:36
09:35:42,09:35:42,8.07,--,40,32280,卖盘,2017-06-30,2017-06-30 09:35:42
09:35:51,09:35:51,8.06,-0.01,12,9672,卖盘,2017-06-30,2017-06-30 09:35:51
09:35:57,09:35:57,8.06,--,20,16120,卖盘,2017-06-30,2017-06-30 09:35:57
09:36:03,09:36:03,8.06,--,61,49166,卖盘,2017-06-30,2017-06-30 09:36:03
09:36:06,09:36:06,8.06,--,1,806,卖盘,2017-06-30,2017-06-30 09:36:06
09:36:09,09:36:09,8.05,-0.01,443,356615,卖盘,2017-06-30,2017-06-30 09:36:09
09:36:12,09:36:12,8.04,-0.01,13,10451,卖盘,2017-06-30,2017-06-30 09:36:12
09:36:36,09:36:36,8.04,--,100,80399,卖盘,2017-06-30,2017-06-30 09:36:36
09:36:54,09:36:54,8.04,--,48,38591,卖盘,2017-06-30,2017-06-30 09:36:54
09:37:03,09:37:03,8.05,0.01,3,2415,买盘,2017-06-30,2017-06-30 09:37:03
09:37:12,09:37:12,8.05,--,2,1610,买盘,2017-06-30,2017-06-30 09:37:12
09:37:18,09:37:18,8.04,-0.01,8,6431,卖盘,2017-06-30,2017-06-30 09:37:18
09:37:24,09:37:24,8.04,--,80,64319,卖盘,2017-06-30,2017-06-30 09:37:24
09:37:27,09:37:27,8.04,--,47,37787,买盘,2017-06-30,2017-06-30 09:37:27
09:37:33,09:37:33,8.04,--,5,4019,买盘,2017-06-30,2017-06-30 09:37:33
09:37:39,09:37:39,8.05,0.01,37,29785,买盘,2017-06-30,2017-06-30 09:37:39
09:38:03,09:38:03,8.03,-0.02,210,168630,卖盘,2017-06-30,2017-06-30 09:38:03
09:38:06,09:38:06,8.03,--,36,28907,买盘,2017-06-30,2017-06-30 09:38:06
09:38:12,09:38:12,8.03,--,39,31316,买盘,2017-06-30,2017-06-30 09:38:12
09:38:18,09:38:18,8.03,--,4,3211,买盘,2017-06-30,2017-06-30 09:38:18
09:38:27,09:38:27,8.03,--,33,26498,买盘,2017-06-30,2017-06-30 09:38:27
09:38:30,09:38:30,8.03,--,2,1605,卖盘,2017-06-30,2017-06-30 09:38:30
09:38:36,09:38:36,8.03,--,10,8029,卖盘,2017-06-30,2017-06-30 09:38:36
09:38:39,09:38:39,8.03,--,14,11242,卖盘,2017-06-30,2017-06-30 09:38:39
09:38:42,09:38:42,8.04,0.01,23,18491,买盘,2017-06-30,2017-06-30 09:38:42
09:38:48,09:38:48,8.03,-0.01,40,32119,卖盘,2017-06-30,2017-06-30 09:38:48
09:38:57,09:38:57,8.03,--,8,6423,卖盘,2017-06-30,2017-06-30 09:38:57
09:39:00,09:39:00,8.03,--,42,33726,卖盘,2017-06-30,2017-06-30 09:39:00
09:39:36,09:39:36,8.04,0.01,2,1607,买盘,2017-06-30,2017-06-30 09:39:36
09:39:39,09:39:39,8.03,-0.01,52,41756,卖盘,2017-06-30,2017-06-30 09:39:39
09:39:51,09:39:51,8.03,--,11,8833,卖盘,2017-06-30,2017-06-30 09:39:51
09:39:57,09:39:57,8.03,--,20,16059,卖盘,2017-06-30,2017-06-30 09:39:57
09:40:03,09:40:03,8.03,--,10,8029,卖盘,2017-06-30,2017-06-30 09:40:03
09:40:12,09:40:12,8.03,--,2,1605,卖盘,2017-06-30,2017-06-30 09:40:12
09:40:15,09:40:15,8.03,--,10,8029,买盘,2017-06-30,2017-06-30 09:40:15
09:40:24,09:40:24,8.03,--,14,11242,买盘,2017-06-30,2017-06-30 09:40:24
09:40:33,09:40:33,8.03,--,1,802,买盘,2017-06-30,2017-06-30 09:40:33
09:40:36,09:40:36,8.03,--,30,24089,买盘,2017-06-30,2017-06-30 09:40:36
09:40:39,09:40:39,8.03,--,20,16059,买盘,2017-06-30,2017-06-30 09:40:39
09:40:42,09:40:42,8.03,--,4,3211,买盘,2017-06-30,2017-06-30 09:40:42
09:40:45,09:40:45,8.03,--,1,802,买盘,2017-06-30,2017-06-30 09:40:45
09:40:48,09:40:48,8.03,--,20,16059,买盘,2017-06-30,2017-06-30 09:40:48
09:41:00,09:41:00,8.03,--,3,2409,买盘,2017-06-30,2017-06-30 09:41:00
09:41:24,09:41:24,8.04,0.01,5,4019,买盘,2017-06-30,2017-06-30 09:41:24
09:41:36,09:41:36,8.03,-0.01,5,4014,卖盘,2017-06-30,2017-06-30 09:41:36
09:41:39,09:41:39,8.04,0.01,2,1607,买盘,2017-06-30,2017-06-30 09:41:39
09:41:45,09:41:45,8.04,--,2,1607,买盘,2017-06-30,2017-06-30 09:41:45
09:42:00,09:42:00,8.03,-0.01,30,24089,卖盘,2017-06-30,2017-06-30 09:42:00
09:42:03,09:42:03,8.04,0.01,9,7235,买盘,2017-06-30,2017-06-30 09:42:03
09:42:09,09:42:09,8.04,--,5,4019,买盘,2017-06-30,2017-06-30 09:42:09
09:42:24,09:42:24,8.03,-0.01,15,12044,卖盘,2017-06-30,2017-06-30 09:42:24
09:42:51,09:42:51,8.03,--,51,40953,卖盘,2017-06-30,2017-06-30 09:42:51
09:42:54,09:42:54,8.04,0.01,15,12059,买盘,2017-06-30,2017-06-30 09:42:54
09:43:12,09:43:12,8.04,--,16,12863,买盘,2017-06-30,2017-06-30 09:43:12
09:43:15,09:43:15,8.03,-0.01,500,401499,卖盘,2017-06-30,2017-06-30 09:43:15
09:43:24,09:43:24,8.04,0.01,140,112559,买盘,2017-06-30,2017-06-30 09:43:24
09:43:27,09:43:27,8.03,-0.01,4,3211,卖盘,2017-06-30,2017-06-30 09:43:27
09:43:45,09:43:45,8.03,--,150,120449,卖盘,2017-06-30,2017-06-30 09:43:45
09:43:57,09:43:57,8.04,0.01,66,53063,买盘,2017-06-30,2017-06-30 09:43:57
09:44:03,09:44:03,8.03,-0.01,120,96359,卖盘,2017-06-30,2017-06-30 09:44:03
09:44:12,09:44:12,8.03,--,7,5621,卖盘,2017-06-30,2017-06-30 09:44:12
09:44:30,09:44:30,8.03,--,158,126873,卖盘,2017-06-30,2017-06-30 09:44:30
09:44:33,09:44:33,8.04,0.01,4,3215,买盘,2017-06-30,2017-06-30 09:44:33
09:44:51,09:44:51,8.03,-0.01,6,4818,卖盘,2017-06-30,2017-06-30 09:44:51
09:45:12,09:45:12,8.03,--,112,89936,卖盘,2017-06-30,2017-06-30 09:45:12
09:45:18,09:45:18,8.03,--,20,16059,买盘,2017-06-30,2017-06-30 09:45:18
09:45:30,09:45:30,8.03,--,48,38544,买盘,2017-06-30,2017-06-30 09:45:30
09:45:33,09:45:33,8.02,-0.01,219,175638,卖盘,2017-06-30,2017-06-30 09:45:33
09:45:36,09:45:36,8.04,0.02,5,4019,买盘,2017-06-30,2017-06-30 09:45:36
09:46:12,09:46:12,8.04,--,9,7235,买盘,2017-06-30,2017-06-30 09:46:12
09:46:18,09:46:18,8.02,-0.02,893,716186,卖盘,2017-06-30,2017-06-30 09:46:18
09:46:27,09:46:27,8.02,--,15,12030,买盘,2017-06-30,2017-06-30 09:46:27
09:46:30,09:46:30,8.02,--,3,2406,买盘,2017-06-30,2017-06-30 09:46:30
09:46:39,09:46:39,8.01,-0.01,23,18423,卖盘,2017-06-30,2017-06-30 09:46:39
09:46:45,09:46:45,8.02,0.01,20,16040,买盘,2017-06-30,2017-06-30 09:46:45
09:46:48,09:46:48,8.01,-0.01,993,795393,卖盘,2017-06-30,2017-06-30 09:46:48
09:46:54,09:46:54,8.01,--,4,3204,买盘,2017-06-30,2017-06-30 09:46:54
09:46:57,09:46:57,8.01,--,115,92115,买盘,2017-06-30,2017-06-30 09:46:57
09:47:03,09:47:03,8.01,--,75,60075,买盘,2017-06-30,2017-06-30 09:47:03
09:47:06,09:47:06,8.01,--,291,233091,买盘,2017-06-30,2017-06-30 09:47:06
09:47:09,09:47:09,8.01,--,50,40050,买盘,2017-06-30,2017-06-30 09:47:09
09:47:12,09:47:12,8.01,--,1,801,买盘,2017-06-30,2017-06-30 09:47:12
09:47:15,09:47:15,8.01,--,13,10413,买盘,2017-06-30,2017-06-30 09:47:15
09:47:24,09:47:24,8.0,-0.01,182,145600,卖盘,2017-06-30,2017-06-30 09:47:24
09:47:27,09:47:27,8.01,0.01,5,4005,买盘,2017-06-30,2017-06-30 09:47:27
09:47:30,09:47:30,8.01,--,10,8010,买盘,2017-06-30,2017-06-30 09:47:30
09:47:33,09:47:33,8.01,--,8,6408,买盘,2017-06-30,2017-06-30 09:47:33
09:47:36,09:47:36,8.01,--,3,2403,买盘,2017-06-30,2017-06-30 09:47:36
09:47:39,09:47:39,8.01,--,12,9612,买盘,2017-06-30,2017-06-30 09:47:39
09:47:54,09:47:54,8.01,--,5,4005,买盘,2017-06-30,2017-06-30 09:47:54
09:48:06,09:48:06,8.01,--,18,14418,买盘,2017-06-30,2017-06-30 09:48:06
09:48:18,09:48:18,8.01,--,1,801,买盘,2017-06-30,2017-06-30 09:48:18
09:48:24,09:48:24,8.01,--,1,801,买盘,2017-06-30,2017-06-30 09:48:24
09:48:27,09:48:27,8.01,--,1,801,买盘,2017-06-30,2017-06-30 09:48:27
09:48:39,09:48:39,8.01,--,3,2403,买盘,2017-06-30,2017-06-30 09:48:39
09:48:54,09:48:54,8.01,--,20,16020,买盘,2017-06-30,2017-06-30 09:48:54
09:48:57,09:48:57,8.01,--,48,38448,买盘,2017-06-30,2017-06-30 09:48:57
09:49:00,09:49:00,8.0,-0.01,20,16000,卖盘,2017-06-30,2017-06-30 09:49:00
09:49:06,09:49:06,8.0,--,31,24800,卖盘,2017-06-30,2017-06-30 09:49:06
09:49:09,09:49:09,8.01,0.01,14,11214,买盘,2017-06-30,2017-06-30 09:49:09
09:49:15,09:49:15,8.01,--,210,168210,买盘,2017-06-30,2017-06-30 09:49:15
09:49:21,09:49:21,8.0,-0.01,153,122728,卖盘,2017-06-30,2017-06-30 09:49:21
09:49:27,09:49:27,8.01,0.01,6,4806,买盘,2017-06-30,2017-06-30 09:49:27
09:49:30,09:49:30,8.01,--,5,4005,买盘,2017-06-30,2017-06-30 09:49:30
09:49:33,09:49:33,8.01,--,10,8010,买盘,2017-06-30,2017-06-30 09:49:33
09:49:36,09:49:36,8.0,-0.01,114,91200,卖盘,2017-06-30,2017-06-30 09:49:36
09:49:39,09:49:39,8.01,0.01,17,13617,买盘,2017-06-30,2017-06-30 09:49:39
09:49:48,09:49:48,8.01,--,7,5607,买盘,2017-06-30,2017-06-30 09:49:48
09:49:57,09:49:57,8.01,--,50,40050,买盘,2017-06-30,2017-06-30 09:49:57
09:50:00,09:50:00,8.01,--,1,801,买盘,2017-06-30,2017-06-30 09:50:00
09:50:03,09:50:03,8.01,--,6,4806,买盘,2017-06-30,2017-06-30 09:50:03
09:50:09,09:50:09,8.0,-0.01,30,24000,卖盘,2017-06-30,2017-06-30 09:50:09
09:50:15,09:50:15,8.01,0.01,66,52866,买盘,2017-06-30,2017-06-30 09:50:15
09:50:21,09:50:21,8.01,--,6,4806,买盘,2017-06-30,2017-06-30 09:50:21
09:50:27,09:50:27,8.01,--,20,16020,买盘,2017-06-30,2017-06-30 09:50:27
09:50:30,09:50:30,8.01,--,3,2403,买盘,2017-06-30,2017-06-30 09:50:30
09:50:33,09:50:33,8.0,-0.01,3,2400,卖盘,2017-06-30,2017-06-30 09:50:33
09:50:36,09:50:36,8.01,0.01,11,8811,买盘,2017-06-30,2017-06-30 09:50:36
09:50:48,09:50:48,8.01,--,11,8811,买盘,2017-06-30,2017-06-30 09:50:48
09:51:00,09:51:00,8.01,--,2,1602,买盘,2017-06-30,2017-06-30 09:51:00
09:51:06,09:51:06,8.01,--,10,8010,买盘,2017-06-30,2017-06-30 09:51:06
09:51:09,09:51:09,8.01,--,30,24030,买盘,2017-06-30,2017-06-30 09:51:09
09:51:15,09:51:15,8.01,--,120,96120,买盘,2017-06-30,2017-06-30 09:51:15
09:51:21,09:51:21,8.01,--,10,8010,买盘,2017-06-30,2017-06-30 09:51:21
09:51:33,09:51:33,8.01,--,73,58473,买盘,2017-06-30,2017-06-30 09:51:33
09:51:39,09:51:39,8.01,--,10,8010,买盘,2017-06-30,2017-06-30 09:51:39
09:51:42,09:51:42,8.01,--,10,8010,买盘,2017-06-30,2017-06-30 09:51:42
09:51:45,09:51:45,8.0,-0.01,10,8000,卖盘,2017-06-30,2017-06-30 09:51:45
09:52:06,09:52:06,8.01,0.01,79,63279,中性盘,2017-06-30,2017-06-30 09:52:06
09:52:09,09:52:09,8.01,--,18,14418,买盘,2017-06-30,2017-06-30 09:52:09
09:52:18,09:52:18,8.01,--,3,2403,买盘,2017-06-30,2017-06-30 09:52:18
09:52:27,09:52:27,8.01,--,67,53667,卖盘,2017-06-30,2017-06-30 09:52:27
09:52:30,09:52:30,8.01,--,5,4005,买盘,2017-06-30,2017-06-30 09:52:30
09:52:36,09:52:36,8.01,--,12,9612,买盘,2017-06-30,2017-06-30 09:52:36
09:52:45,09:52:45,8.01,--,10,8010,买盘,2017-06-30,2017-06-30 09:52:45
09:52:57,09:52:57,8.01,--,10,8010,买盘,2017-06-30,2017-06-30 09:52:57
09:53:03,09:53:03,8.0,-0.01,2,1600,卖盘,2017-06-30,2017-06-30 09:53:03
09:53:06,09:53:06,8.01,0.01,18,14418,买盘,2017-06-30,2017-06-30 09:53:06
09:53:15,09:53:15,8.01,--,6,4806,卖盘,2017-06-30,2017-06-30 09:53:15
09:53:42,09:53:42,8.02,0.01,5,4010,买盘,2017-06-30,2017-06-30 09:53:42
09:54:24,09:54:24,8.02,--,38,30476,买盘,2017-06-30,2017-06-30 09:54:24
09:55:30,09:55:30,8.02,--,2,1604,买盘,2017-06-30,2017-06-30 09:55:30
09:55:48,09:55:48,8.02,--,15,12030,买盘,2017-06-30,2017-06-30 09:55:48
09:56:18,09:56:18,8.02,--,10,8020,买盘,2017-06-30,2017-06-30 09:56:18
09:56:24,09:56:24,8.02,--,170,136340,买盘,2017-06-30,2017-06-30 09:56:24
09:56:45,09:56:45,8.02,--,9,7218,卖盘,2017-06-30,2017-06-30 09:56:45
09:56:51,09:56:51,8.02,--,74,59348,卖盘,2017-06-30,2017-06-30 09:56:51
09:57:06,09:57:06,8.02,--,3,2406,买盘,2017-06-30,2017-06-30 09:57:06
09:57:09,09:57:09,8.02,--,1,802,买盘,2017-06-30,2017-06-30 09:57:09
09:57:18,09:57:18,8.02,--,1,802,买盘,2017-06-30,2017-06-30 09:57:18
09:57:33,09:57:33,8.02,--,2,1604,买盘,2017-06-30,2017-06-30 09:57:33
09:57:36,09:57:36,8.02,--,12,9624,买盘,2017-06-30,2017-06-30 09:57:36
09:57:39,09:57:39,8.02,--,41,32882,买盘,2017-06-30,2017-06-30 09:57:39
09:57:45,09:57:45,8.02,--,1,802,买盘,2017-06-30,2017-06-30 09:57:45
09:58:15,09:58:15,8.02,--,81,64962,买盘,2017-06-30,2017-06-30 09:58:15
09:58:39,09:58:39,8.03,0.01,14,11242,买盘,2017-06-30,2017-06-30 09:58:39
09:58:45,09:58:45,8.03,--,17,13650,买盘,2017-06-30,2017-06-30 09:58:45
09:59:00,09:59:00,8.03,--,30,24089,买盘,2017-06-30,2017-06-30 09:59:00
09:59:42,09:59:42,8.03,--,50,40150,买盘,2017-06-30,2017-06-30 09:59:42
09:59:51,09:59:51,8.03,--,11,8833,买盘,2017-06-30,2017-06-30 09:59:51
10:00:00,10:00:00,8.03,--,2,1605,买盘,2017-06-30,2017-06-30 10:00:00
10:00:18,10:00:18,8.03,--,5,4014,买盘,2017-06-30,2017-06-30 10:00:18
10:00:21,10:00:21,8.02,-0.01,10,8020,卖盘,2017-06-30,2017-06-30 10:00:21
10:00:24,10:00:24,8.02,--,100,80200,卖盘,2017-06-30,2017-06-30 10:00:24
10:00:33,10:00:33,8.03,0.01,4,3211,买盘,2017-06-30,2017-06-30 10:00:33
10:00:42,10:00:42,8.03,--,46,36938,买盘,2017-06-30,2017-06-30 10:00:42
10:01:33,10:01:33,8.03,--,10,8029,买盘,2017-06-30,2017-06-30 10:01:33
10:01:57,10:01:57,8.03,--,14,11242,买盘,2017-06-30,2017-06-30 10:01:57
10:02:24,10:02:24,8.02,-0.01,3,2406,卖盘,2017-06-30,2017-06-30 10:02:24
10:02:36,10:02:36,8.02,--,165,132330,卖盘,2017-06-30,2017-06-30 10:02:36
10:02:51,10:02:51,8.01,-0.01,220,176220,卖盘,2017-06-30,2017-06-30 10:02:51
10:03:24,10:03:24,8.01,--,158,126558,卖盘,2017-06-30,2017-06-30 10:03:24
