Date,Close,Index_predicted,Return,mean_of_group,r_cat,top_pred,top_prob
2017-06-26,3185.44,3162.272271170674,0.00873056838945252,0.009682278338297186,"(0.0078, 0.0118]",0.0013940634575438315,0.5041955709457397
2017-06-27,3191.2,3128.5766743266277,0.0018082274348283356,0.0013940634575438315,"(-0.000124, 0.00384]",-0.017851011374683645,0.8604192733764648
2017-06-28,3173.2,3195.6487353057137,-0.005640511406367565,-0.006015443286824101,"(-0.00804, -0.00408]",0.0013940634575438315,0.799166738986969
2017-06-29,3188.06,3203.9238056230847,0.004682969872683795,0.005703936823873401,"(0.00384, 0.0078]",0.009682278338297186,0.4489956498146057
2017-06-30,3192.43,3218.927684279192,0.0013707395720281568,0.0013940634575438315,"(-0.000124, 0.00384]",0.009682278338297186,0.831636369228363
2017-07-03,3195.91,3161.022184969672,0.0010900787174659143,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0098382157260545,0.554976224899292
2017-07-04,3182.8,3200.3653013445987,-0.0041021180195937035,-0.006015443286824101,"(-0.00804, -0.00408]",0.0013940634575438315,0.9917691946029663
2017-07-05,3207.13,3226.2558887829427,0.007644212642955894,0.005703936823873401,"(0.00384, 0.0078]",0.013653352011732544,0.48469871282577515
2017-07-06,3212.44,3175.577563198499,0.0016556859247987,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0098382157260545,0.6668166518211365
2017-07-07,3217.96,3206.0881646935213,0.0017183200308799051,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0019772619275313257,0.6092774271965027
2017-07-10,3212.63,3222.446040443838,-0.0016563288543052224,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9820494055747986
2017-07-11,3203.04,3230.9546385584804,-0.0029850932102358785,-0.0019772619275313257,"(-0.00408, -0.000124]",0.005703936823873401,0.6827806830406189
2017-07-12,3197.54,3221.3099378043394,-0.0017171187371997076,-0.0019772619275313257,"(-0.00408, -0.000124]",0.005703936823873401,0.6745420098304749
2017-07-13,3218.16,3201.9975736680344,0.006448707443847512,0.005703936823873401,"(0.00384, 0.0078]",0.0013940634575438315,0.9231469035148621
2017-07-14,3222.42,3211.7968547552955,0.0013237377880528367,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0019772619275313257,0.4710350036621094
2017-07-17,3176.46,3226.9122579668583,-0.014262572848976918,-0.013940472229774408,"(-0.016, -0.012]",0.0013940634575438315,0.9719056487083435
2017-07-18,3187.57,3207.2153698504676,0.003497604251273545,0.0013940634575438315,"(-0.000124, 0.00384]",0.009682278338297186,0.5466329455375671
2017-07-19,3230.98,3181.267339197659,0.013618524455933478,0.013653352011732544,"(0.0118, 0.0157]",-0.0019772619275313257,0.9998514652252197
2017-07-20,3244.86,3235.484191150055,0.004295910219190402,0.005703936823873401,"(0.00384, 0.0078]",0.0013940634575438315,0.9486631751060486
2017-07-21,3237.98,3249.3835407508454,-0.002120276375560115,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9632696509361267
2017-07-24,3250.6,3242.4939495942576,0.003897491646026152,0.005703936823873401,"(0.00384, 0.0078]",0.0013940634575438315,0.9972031116485596
2017-07-25,3243.69,3255.1315426750916,-0.0021257613978957757,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9400874376296997
2017-07-26,3247.67,3248.2119096966003,0.0012269976477405908,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.8479364514350891
2017-07-27,3249.78,3228.1338253006797,0.0006496965516817887,0.0013940634575438315,"(-0.000124, 0.00384]",-0.006015443286824101,0.6417507529258728
2017-07-28,3253.24,3230.2311327153448,0.0010646874557660446,0.0013940634575438315,"(-0.000124, 0.00384]",-0.006015443286824101,0.8418551087379456
2017-07-31,3273.03,3297.6576308986487,0.0060831663203453346,0.005703936823873401,"(0.00384, 0.0078]",0.013653352011732544,0.643638551235199
2017-08-01,3292.64,3304.7203874695974,0.00599139024084705,0.005703936823873401,"(0.00384, 0.0078]",0.009682278338297186,0.8050044178962708
2017-08-02,3285.06,3324.520256947811,-0.002302104086690293,-0.0019772619275313257,"(-0.00408, -0.000124]",0.009682278338297186,0.8935369253158569
2017-08-03,3272.93,3316.8668652780066,-0.0036924744144704036,-0.0019772619275313257,"(-0.00408, -0.000124]",0.009682278338297186,0.4636731743812561
2017-08-04,3262.08,3277.4926721120987,-0.003315072427457988,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.5372768044471741
2017-08-07,3279.46,3266.6275465235844,0.00532788895428693,0.005703936823873401,"(0.00384, 0.0078]",0.0013940634575438315,0.3709279000759125
2017-08-08,3281.87,3298.1658326564198,0.0007348770834221252,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.6791591644287109
2017-08-09,3275.57,3286.4451350394093,-0.0019196372799652472,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9675893783569336
2017-08-10,3261.75,3255.8659944329775,-0.00421911300933886,-0.006015443286824101,"(-0.00804, -0.00408]",-0.006015443286824101,0.6518216729164124
2017-08-11,3208.54,3255.3006659078746,-0.016313328734575028,-0.017851011374683645,"(-0.0199, -0.016]",-0.0019772619275313257,0.9881906509399414
2017-08-14,3237.36,3213.0129083660677,0.008982278544135358,0.009682278338297186,"(0.0078, 0.0118]",0.0013940634575438315,0.6284142732620239
2017-08-15,3251.26,3241.873085274914,0.004293621963575189,0.005703936823873401,"(0.00384, 0.0078]",0.0013940634575438315,0.9987474679946899
2017-08-16,3246.45,3255.792462756974,-0.001479426437750453,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9994530081748962
2017-08-17,3268.43,3240.030918015366,0.006770472362118696,0.005703936823873401,"(0.00384, 0.0078]",-0.0019772619275313257,0.9488956928253174
2017-08-18,3268.72,3272.9863988265397,8.872761539935325e-05,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.9853473901748657
2017-08-21,3286.91,3262.2568843922395,0.00556486942901202,0.005703936823873401,"(0.00384, 0.0078]",-0.0019772619275313257,0.8249356150627136
2017-08-22,3290.23,3291.492161119235,0.0010100672059776272,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.8806307911872864
2017-08-23,3287.7,3294.8167894099142,-0.0007689432045784317,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.6085224747657776
